Date,StockID,Actual_Price,Predicted_Price
2022-10-20,ABG.JO,19022.75940419688,17669.295276219695
2022-10-20,AGL.JO,52860.04938796617,29601.483595811307
2022-10-20,AMS.JO,140627.8488029376,108761.62042987488
2022-10-20,APN.JO,14644.406772632425,16171.440947009021
2022-10-20,BTI.JO,68003.41092680497,65735.51488311238
2022-10-20,BVT.JO,20564.359479873398,17216.1175595155
2022-10-20,CLS.JO,29171.205612557864,19320.22284217094
2022-10-20,CPI.JO,182553.36696287052,103188.14056953903
2022-10-20,DSY.JO,11366.277560152803,11157.13200812861
2022-10-20,EXX.JO,20455.952407593406,16657.51274427057
2022-10-20,FSR.JO,6210.088222838923,5763.211240789755
2022-10-20,GFI.JO,13948.37266300615,10884.937735771024
2022-10-20,GLN.JO,9897.516188134927,6673.273124315349
2022-10-20,GRT.JO,1331.9476836502533,1704.7428779283298
2022-10-20,HAR.JO,4738.479967309951,4935.734757743741
2022-10-20,IMP.JO,17150.6730743791,15283.00041299019
2022-10-20,INL.JO,8345.3936947058,7025.263709525181
2022-10-20,INP.JO,8457.397107899671,5856.6166157314865
2022-10-20,KIO.JO,37733.56006957875,33194.833131844236
2022-10-20,MNP.JO,32786.23378168598,32022.3771965321
2022-10-20,MRP.JO,17854.813667433085,17710.995692169414
2022-10-20,MTN.JO,12356.411332313364,12156.251146672326
2022-10-20,NED.JO,20755.69523753359,19991.588640635666
2022-10-20,NPN.JO,210833.0233957244,196011.25996658413
2022-10-20,NRP.JO,8695.770024086642,9978.576680946197
2022-10-20,REM.JO,13612.919936467822,13248.369813253084
2022-10-20,RLO.JO,4576.6213742828595,4660.802591665838
2022-10-20,SBK.JO,16348.792012807555,16050.55206487064
2022-10-20,SHP.JO,22483.60069271791,21638.268915829616
2022-10-20,SLM.JO,5147.976031534844,5661.854030059807
2022-10-20,SOL.JO,29372.5020129669,32140.940661868055
2022-10-20,VOD.JO,12324.798418888517,12542.844796939802
2022-10-21,ABG.JO,18970.366300396057,17880.789209177627
2022-10-21,AGL.JO,53914.07804090955,29463.479675984498
2022-10-21,AMS.JO,139898.32936425277,108623.74305024324
2022-10-21,APN.JO,14655.403035493619,16044.917876300078
2022-10-21,BTI.JO,67156.06768697084,66039.3956599165
2022-10-21,BVT.JO,20562.358354671345,17279.142044315595
2022-10-21,CLS.JO,29214.180114176906,19322.57850624284
2022-10-21,CPI.JO,181125.23060549155,103347.08937733962
2022-10-21,DSY.JO,11244.643393460117,11183.022968914269
2022-10-21,EXX.JO,21388.006138557812,16636.678037287762
2022-10-21,FSR.JO,6154.171583469699,5818.355108676264
2022-10-21,GFI.JO,14292.752611284248,10844.966487654512
2022-10-21,GLN.JO,10066.512757509216,6638.178386987593
2022-10-21,GRT.JO,1310.0146434023768,1721.439286412868
2022-10-21,HAR.JO,4795.795489377669,4919.26422542261
2022-10-21,IMP.JO,17349.593105679065,15159.786511591536
2022-10-21,INL.JO,8376.679787527606,7048.659992006885
2022-10-21,INP.JO,8524.982106936719,5859.227585093892
2022-10-21,KIO.JO,38581.511763374794,33158.0070227478
2022-10-21,MNP.JO,32727.567513116115,32171.943095456598
2022-10-21,MRP.JO,17304.383660889074,17724.93505857467
2022-10-21,MTN.JO,12154.60553612635,12065.07544568783
2022-10-21,NED.JO,20538.79810576356,20129.96831611007
2022-10-21,NPN.JO,208556.48790894257,194457.5508806252
2022-10-21,NRP.JO,8647.772980111791,10003.045270497285
2022-10-21,REM.JO,13455.329933386365,13259.24906291143
2022-10-21,RLO.JO,4541.672262901099,4719.680054641811
2022-10-21,SBK.JO,16456.600118926068,16481.564215432165
2022-10-21,SHP.JO,22185.46185718915,21647.78484963605
2022-10-21,SLM.JO,5093.072082210788,5665.1612396885985
2022-10-21,SOL.JO,28899.554132908106,31861.344650386945
2022-10-21,VOD.JO,12117.801223760802,12536.962115552542
2022-10-24,ABG.JO,19149.002700213103,17919.96714820203
2022-10-24,AGL.JO,54637.18543892046,29579.49356798632
2022-10-24,AMS.JO,141553.04602981143,107812.98180561393
2022-10-24,APN.JO,14841.998396481675,15959.057958984682
2022-10-24,BTI.JO,69701.4679757171,65937.63533179493
2022-10-24,BVT.JO,20701.2381971443,17366.446336810943
2022-10-24,CLS.JO,29847.45193869826,19483.634039285073
2022-10-24,CPI.JO,181081.60611069482,103682.49725124675
2022-10-24,DSY.JO,11267.303517067865,11132.250950900187
2022-10-24,EXX.JO,21925.496065601674,16727.031532171753
2022-10-24,FSR.JO,6190.783833223372,5832.929150877109
2022-10-24,GFI.JO,14520.56183190441,10932.872237446614
2022-10-24,GLN.JO,10305.84298063742,6648.3272438362355
2022-10-24,GRT.JO,1313.3378459124494,1718.9235648934725
2022-10-24,HAR.JO,4883.100755252139,4938.6030709571705
2022-10-24,IMP.JO,17657.467109539328,15097.546290710867
2022-10-24,INL.JO,8607.321456578438,7054.475629039645
2022-10-24,INP.JO,8775.011920489951,5874.24375136593
2022-10-24,KIO.JO,38460.799394606685,33279.75277723035
2022-10-24,MNP.JO,33792.36603811026,32196.756708554294
2022-10-24,MRP.JO,17428.92189208408,17456.725957677674
2022-10-24,MTN.JO,11617.457769140954,11930.82776643376
2022-10-24,NED.JO,20664.545189916524,20126.128279409768
2022-10-24,NPN.JO,178047.7915861108,194459.17511882045
2022-10-24,NRP.JO,8717.43544817116,10009.938997711
2022-10-24,REM.JO,13441.336762977291,13236.330255321764
2022-10-24,RLO.JO,4518.706888134566,4751.873114201557
2022-10-24,SBK.JO,16573.053555741117,16821.91347322677
