Date,StockID,Horizon_Step,Actual_Price,Predicted_Price
2022-10-20,ABG.JO,1,19022.75940419688,17512.850093919984
2022-10-20,AGL.JO,1,52860.04938796617,44532.49399485101
2022-10-20,AMS.JO,1,140627.8488029376,130392.78484377876
2022-10-20,APN.JO,1,14644.406772632425,11066.618901485037
2022-10-20,BTI.JO,1,68003.41092680497,63977.89703301208
2022-10-20,BVT.JO,1,20564.359479873398,21357.621510202345
2022-10-20,CLS.JO,1,29171.205612557864,26969.76243853944
2022-10-20,CPI.JO,1,182553.36696287052,155000.43680092518
2022-10-20,DSY.JO,1,11366.277560152803,10608.80291093895
2022-10-20,EXX.JO,1,20455.952407593406,19356.40045588975
2022-10-20,FSR.JO,1,6210.088222838923,6322.576176892381
2022-10-20,GFI.JO,1,13948.37266300615,14978.27068418205
2022-10-20,GLN.JO,1,9897.516188134927,8177.548368790084
2022-10-20,GRT.JO,1,1331.9476836502533,1818.504057871719
2022-10-20,HAR.JO,1,4738.479967309951,5776.1593540091735
2022-10-20,IMP.JO,1,17150.6730743791,17603.366286673405
2022-10-20,INL.JO,1,8345.3936947058,7684.876638702352
2022-10-20,INP.JO,1,8457.397107899671,7190.481315958962
2022-10-20,KIO.JO,1,37733.56006957875,42680.770875759285
2022-10-20,MNP.JO,1,32786.23378168598,30913.716897596536
2022-10-20,MRP.JO,1,17854.813667433085,16430.465180902516
2022-10-20,MTN.JO,1,12356.411332313364,11247.941725062468
2022-10-20,NED.JO,1,20755.69523753359,20048.833423034164
2022-10-20,NPN.JO,1,210833.0233957244,252792.91414578643
2022-10-20,NRP.JO,1,8695.770024086642,7401.212797610529
2022-10-20,REM.JO,1,13612.919936467822,13013.76053290351
2022-10-20,RLO.JO,1,4576.6213742828595,4018.8985315222158
2022-10-20,SBK.JO,1,16348.792012807555,16086.830001227296
2022-10-20,SHP.JO,1,22483.60069271791,23808.272173552672
2022-10-20,SLM.JO,1,5147.976031534844,4884.458235606531
2022-10-20,SOL.JO,1,29372.5020129669,38211.262844425546
2022-10-20,VOD.JO,1,12324.798418888517,11734.881285224
2022-10-21,ABG.JO,1,18970.366300396057,17734.978387282787
2022-10-21,AGL.JO,1,53914.07804090955,44001.3326065652
2022-10-21,AMS.JO,1,139898.32936425277,129696.95156133913
2022-10-21,APN.JO,1,14655.403035493619,10964.036348728187
2022-10-21,BTI.JO,1,67156.06768697084,64325.375919939484
2022-10-21,BVT.JO,1,20562.358354671345,21473.133339157546
2022-10-21,CLS.JO,1,29214.180114176906,26773.837942270526
2022-10-21,CPI.JO,1,181125.23060549155,153891.0972136244
2022-10-21,DSY.JO,1,11244.643393460117,10690.095682132564
2022-10-21,EXX.JO,1,21388.006138557812,19276.911970841888
2022-10-21,FSR.JO,1,6154.171583469699,6400.731733126979
2022-10-21,GFI.JO,1,14292.752611284248,14832.57368429069
2022-10-21,GLN.JO,1,10066.512757509216,8120.372345078974
2022-10-21,GRT.JO,1,1310.0146434023768,1827.7277681182313
2022-10-21,HAR.JO,1,4795.795489377669,5748.538498819223
2022-10-21,IMP.JO,1,17349.593105679065,17419.07215600643
2022-10-21,INL.JO,1,8376.679787527606,7692.4994966899785
2022-10-21,INP.JO,1,8524.982106936719,7166.407873951355
2022-10-21,KIO.JO,1,38581.511763374794,42522.59533908783
2022-10-21,MNP.JO,1,32727.567513116115,31171.326271674236
2022-10-21,MRP.JO,1,17304.383660889074,16539.138857375583
2022-10-21,MTN.JO,1,12154.60553612635,11188.066765749165
2022-10-21,NED.JO,1,20538.79810576356,20238.452176450053
2022-10-21,NPN.JO,1,208556.48790894257,249147.54181897108
2022-10-21,NRP.JO,1,8647.772980111791,7439.80916199713
2022-10-21,REM.JO,1,13455.329933386365,13041.408640526875
2022-10-21,RLO.JO,1,4541.672262901099,4081.7170871482263
2022-10-21,SBK.JO,1,16456.600118926068,16579.300254863476
2022-10-21,SHP.JO,1,22185.46185718915,23763.728344592157
2022-10-21,SLM.JO,1,5093.072082210788,4908.441775289984
2022-10-21,SOL.JO,1,28899.554132908106,37339.97747189819
2022-10-21,VOD.JO,1,12117.801223760802,11749.65347697406
2022-10-24,ABG.JO,1,19149.002700213103,17766.420640607015
2022-10-24,AGL.JO,1,54637.18543892046,44426.102497710526
2022-10-24,AMS.JO,1,141553.04602981143,129196.34749713846
2022-10-24,APN.JO,1,14841.998396481675,10827.291753126374
2022-10-24,BTI.JO,1,69701.4679757171,64141.47441325182
2022-10-24,BVT.JO,1,20701.2381971443,21582.601243967438
2022-10-24,CLS.JO,1,29847.45193869826,27087.917926919672
2022-10-24,CPI.JO,1,181081.60611069482,155102.3668127548
2022-10-24,DSY.JO,1,11267.303517067865,10629.391975117906
2022-10-24,EXX.JO,1,21925.496065601674,19428.08194717063
2022-10-24,FSR.JO,1,6190.783833223372,6433.58467849628
2022-10-24,GFI.JO,1,14520.56183190441,14886.460341946498
2022-10-24,GLN.JO,1,10305.84298063742,8167.148807660957
2022-10-24,GRT.JO,1,1313.3378459124494,1821.8803259122858
2022-10-24,HAR.JO,1,4883.100755252139,5765.552027844252
2022-10-24,IMP.JO,1,17657.467109539328,17390.89140130904
2022-10-24,INL.JO,1,8607.321456578438,7711.199070084405
2022-10-24,INP.JO,1,8775.011920489951,7208.402233222648
2022-10-24,KIO.JO,1,38460.799394606685,42725.56755932932
2022-10-24,MNP.JO,1,33792.36603811026,31222.422779789802
2022-10-24,MRP.JO,1,17428.92189208408,16194.252654106996
2022-10-24,MTN.JO,1,11617.457769140954,11004.613282692531
