StockID,Actual_Slope_Angle,Predicted_Slope_Angle,Actual_Duration,Predicted_Duration
KIO.JO,89.94507,-87.99771,1.0,1.0294731
MNP.JO,89.89463,88.781425,1.0,1.0422935
MRP.JO,-89.88226,-89.80677,1.0,1.0330995
MTN.JO,89.84444,-89.78601,1.0,1.1041217
NED.JO,89.92554,-87.80886,1.0,1.0468888
NPN.JO,89.992584,-89.982544,1.0,1.0682834
NRP.JO,89.34392,-89.54854,1.0,1.1592898
REM.JO,89.76214,88.90126,1.0,1.0823116
RLO.JO,89.24834,85.99737,1.0,1.108291
SBK.JO,89.838005,88.97352,2.0,1.2732441
SHP.JO,89.87091,-85.48144,2.0,1.0295825
SLM.JO,89.51222,88.796455,1.0,1.2703482
SOL.JO,89.920006,-89.88075,1.0,1.0424333
VOD.JO,89.770935,-88.95882,1.0,1.1941242
ABG.JO,89.58195,89.762146,1.0,1.1249357
AGL.JO,-89.74434,89.87609,1.0,1.0331987
AMS.JO,89.9451,-89.96318,1.0,1.0503262
APN.JO,-86.05331,-89.797226,2.0,1.0408068
BTI.JO,89.90964,80.53343,1.0,1.0470874
BVT.JO,89.17889,89.26613,2.0,1.5120609
CLS.JO,89.83121,89.81332,1.0,1.0652694
CPI.JO,-89.95769,89.96462,1.0,1.0222733
DSY.JO,88.28113,85.89749,1.0,1.1296031
EXX.JO,-89.05043,-89.50689,1.0,1.0906422
FSR.JO,89.139336,88.6747,1.0,1.0879691
GFI.JO,89.21809,89.77782,1.0,1.088603
GLN.JO,-89.05562,89.46307,1.0,1.109308
GRT.JO,86.376976,86.97863,2.0,1.2672712
HAR.JO,88.98866,89.24236,1.0,1.125109
IMP.JO,89.63178,89.72939,1.0,1.054599
INL.JO,89.61658,88.22304,1.0,1.1315261
INP.JO,89.35061,88.35241,1.0,1.3177228
KIO.JO,-89.95677,89.62255,1.0,1.0285268
MNP.JO,-89.49431,89.60815,1.0,1.0563221
MRP.JO,89.88619,-89.879906,1.0,1.0239946
MTN.JO,89.709366,-89.73228,1.0,1.0833436
NED.JO,89.811966,88.89195,1.0,1.052503
NPN.JO,89.983215,-89.96898,1.0,1.0588806
NRP.JO,89.58877,-89.496155,1.0,1.1181244
REM.JO,89.028496,89.505974,1.0,1.0594581
RLO.JO,88.52902,87.93791,1.0,1.1534038
SBK.JO,-89.68404,88.33022,1.0,1.2708365
SHP.JO,89.87091,89.72577,2.0,1.6266729
SLM.JO,-87.674446,88.44894,1.0,1.0602318
SOL.JO,89.883995,-89.84346,1.0,1.0539458
VOD.JO,89.28917,-88.63385,1.0,1.1498877
ABG.JO,-89.64921,89.66011,1.0,1.1171793
AGL.JO,-89.91855,89.61566,1.0,1.0268525
AMS.JO,89.862045,-89.9717,1.0,1.0292008
APN.JO,-86.05331,-89.60364,2.0,1.6650678
BTI.JO,-73.31507,-86.471436,1.0,1.0381662
BVT.JO,89.819664,88.70456,1.0,1.1868546
CLS.JO,89.85546,89.769356,1.0,1.0592666
CPI.JO,89.95559,89.89304,1.0,1.0138892
DSY.JO,89.70305,-87.82024,1.0,1.1092166
EXX.JO,-89.92351,-89.7244,1.0,1.0573541
FSR.JO,87.875725,87.547356,1.0,1.1361827
GFI.JO,-89.5572,89.73763,2.0,1.1424649
GLN.JO,-89.559265,88.69876,1.0,1.1071714
GRT.JO,86.376976,86.97705,2.0,1.655793
HAR.JO,-88.93213,89.06273,1.0,1.1318573
IMP.JO,89.72309,89.31793,1.0,1.0622184
INL.JO,87.61049,88.48156,1.0,1.1068847
INP.JO,88.63978,40.17407,2.0,1.0864685
KIO.JO,-89.976906,-89.792435,1.0,1.0328026
MNP.JO,-89.86935,-89.12614,1.0,1.0364735
MRP.JO,89.42836,-89.79319,1.0,1.0481316
MTN.JO,89.59801,-89.63779,1.0,1.1283882
NED.JO,-89.40613,-87.60613,1.0,1.0392771
NPN.JO,-89.99363,89.913216,1.0,1.0262552
NRP.JO,89.51304,-89.3991,1.0,1.1306694
REM.JO,81.02298,89.44934,1.0,1.0543922
RLO.JO,-88.88234,88.70132,1.0,1.0714532
SBK.JO,88.528496,-89.31903,2.0,1.0389036
SHP.JO,89.02834,89.60008,1.0,1.1124816
SLM.JO,88.91033,76.71295,1.0,1.1200435
SOL.JO,89.745895,-89.86024,1.0,1.0543852
VOD.JO,89.75425,86.87192,1.0,1.0956097
ABG.JO,89.38489,89.431465,1.0,1.1235024
AGL.JO,-89.59984,89.425606,1.0,1.0383692
AMS.JO,-89.603325,-89.96465,1.0,1.0425409
APN.JO,88.88355,-89.78284,1.0,1.130885
BTI.JO,89.914444,-89.77513,1.0,1.0301038
BVT.JO,88.377464,89.41211,1.0,1.0582316
CLS.JO,-89.783104,89.77736,1.0,1.0590132
CPI.JO,-89.50585,89.9472,1.0,1.020837
DSY.JO,89.61877,69.39037,1.0,1.1212146
EXX.JO,-89.82119,-89.81339,1.0,1.0573043
FSR.JO,87.875725,87.6463,1.0,1.1455
GFI.JO,-89.5572,89.69236,2.0,1.5862321
GLN.JO,89.6419,85.29109,1.0,1.135892
GRT.JO,-82.82753,87.779274,4.0,1.3922455
HAR.JO,88.001434,88.856316,1.0,1.1232625
IMP.JO,87.1364,89.60213,1.0,1.0747931
INL.JO,88.68608,82.26465,1.0,1.0881096
INP.JO,88.63978,86.4795,2.0,1.690498
KIO.JO,-89.821815,-89.85428,1.0,1.0570732
MNP.JO,89.86376,-89.67485,1.0,1.0312256
MRP.JO,-88.94449,-89.845406,1.0,1.0246961
MTN.JO,89.811966,-89.664215,1.0,1.1198837
NED.JO,-89.78657,-89.42647,1.0,1.0457777
NPN.JO,89.99422,-89.92483,1.0,1.0309474
NRP.JO,86.49635,-89.409775,1.0,1.1267055
REM.JO,-89.49717,89.39084,1.0,1.0638876
RLO.JO,-81.85869,87.99105,1.0,1.0674351
SBK.JO,88.528496,-88.6364,2.0,1.463281
SHP.JO,-89.82213,-89.34318,1.0,1.044795
SLM.JO,86.9819,88.46295,2.0,1.098976
SOL.JO,-89.903244,-89.87555,1.0,1.0519927
VOD.JO,87.97695,89.346306,1.0,1.095727
ABG.JO,-89.80669,89.60121,1.0,1.1720561
AGL.JO,89.9648,-86.083786,1.0,1.043849
AMS.JO,89.917145,-89.96797,1.0,1.036582
APN.JO,89.27141,-89.88453,1.0,1.0462157
BTI.JO,89.85743,-88.68919,1.0,1.0361176
BVT.JO,89.14416,89.47159,1.0,1.1141305
CLS.JO,-89.35588,89.33433,1.0,1.0548588
CPI.JO,89.96696,89.728806,1.0,1.0214306
DSY.JO,89.801,87.77692,1.0,1.1252571
EXX.JO,89.687164,-89.811485,1.0,1.06961
FSR.JO,-88.639435,87.51625,2.0,1.1603506
GFI.JO,88.71641,89.65368,1.0,1.2371268
GLN.JO,89.83279,88.72654,1.0,1.1408994
GRT.JO,-82.82753,87.70806,4.0,2.487772
HAR.JO,89.64766,89.02459,1.0,1.1273459
IMP.JO,89.8757,88.68576,2.0,1.0533352
INL.JO,-88.26165,84.958015,1.0,1.0923392
INP.JO,-87.433044,-63.076283,1.0,1.2415209
KIO.JO,89.96024,-89.873695,1.0,1.0649176
MNP.JO,-89.86713,-89.11325,1.0,1.0274872
MRP.JO,89.06998,-89.763275,2.0,1.0356776
MTN.JO,89.48641,-89.60127,1.0,1.1120191
NED.JO,-89.56287,-89.64019,1.0,1.0556015
NPN.JO,89.996956,89.97133,1.0,1.0374621
NRP.JO,-86.56625,-89.5119,1.0,1.118519
REM.JO,-88.651474,88.41652,1.0,1.073348
RLO.JO,87.849304,87.646194,1.0,1.0848901
SBK.JO,-89.4463,-88.50009,1.0,1.1855396
SHP.JO,-89.45572,-89.560555,1.0,1.081556
SLM.JO,86.9819,88.90657,2.0,1.4596643
SOL.JO,-89.977066,-89.91633,1.0,1.0384803
VOD.JO,-86.49351,88.28647,1.0,1.1122789
ABG.JO,-89.44972,89.33535,2.0,1.1458707
AGL.JO,-89.340126,89.86259,1.0,1.0305496
AMS.JO,89.98205,-89.96858,1.0,1.0428683
APN.JO,-89.8324,-89.83889,2.0,1.0813938
BTI.JO,-89.97872,-89.532326,1.0,1.0339166
BVT.JO,-89.51811,89.671585,1.0,1.0789741
CLS.JO,-89.946915,88.887344,1.0,1.0651854
CPI.JO,89.97206,89.944435,1.0,1.0220075
DSY.JO,-89.08554,89.292046,1.0,1.1136527
EXX.JO,-89.811195,-89.756035,1.0,1.0506872
FSR.JO,-88.639435,85.2064,2.0,1.3600719
GFI.JO,-89.79713,89.63131,1.0,1.1211532
GLN.JO,-88.11175,89.5357,1.0,1.117054
GRT.JO,-82.82753,87.25024,4.0,1.7595298
HAR.JO,-89.06051,89.34799,1.0,1.1283437
IMP.JO,89.8757,89.705795,2.0,1.5131909
INL.JO,89.234924,-87.68037,1.0,1.0832404
INP.JO,88.80507,-88.39424,1.0,1.0662334
KIO.JO,-89.79681,87.327644,1.0,1.0502952
MNP.JO,-89.89463,-89.7684,1.0,1.021367
MRP.JO,89.06998,-52.697063,2.0,1.6087613
MTN.JO,84.08841,-89.68392,1.0,1.112043
NED.JO,-84.63486,-89.64852,1.0,1.0472759
NPN.JO,-89.83844,89.98448,1.0,1.04721
NRP.JO,-88.3396,-89.58024,2.0,1.1073706
REM.JO,81.25167,88.08709,1.0,1.0843579
RLO.JO,89.51511,87.54492,1.0,1.0931638
SBK.JO,-69.43365,-89.30937,1.0,1.0594579
SHP.JO,-89.25059,-89.63862,2.0,1.0317632
SLM.JO,-88.16879,89.17539,1.0,1.2147741
SOL.JO,89.49105,-89.95344,1.0,1.0288186
VOD.JO,-89.02817,87.671715,1.0,1.1148435
ABG.JO,-89.44972,89.56316,2.0,1.3880755
AGL.JO,-89.975136,89.76411,1.0,1.0241795
AMS.JO,-89.97769,-89.949715,1.0,1.0453724
APN.JO,-89.8324,-89.7422,2.0,1.677107
BTI.JO,-89.95295,-89.92336,1.0,1.0265281
BVT.JO,-89.78839,89.43303,1.0,1.0752842
CLS.JO,-89.727425,-89.72668,1.0,1.0829098
CPI.JO,-89.97415,89.94577,1.0,1.0231215
DSY.JO,-89.38376,86.317154,1.0,1.08808
EXX.JO,78.655075,-89.77745,1.0,1.0505471
FSR.JO,-84.95007,86.32184,1.0,1.2259923
GFI.JO,-89.92923,89.38978,1.0,1.1671515
GLN.JO,-89.75088,89.39667,1.0,1.0636487
GRT.JO,-82.82753,85.87065,4.0,2.0417724
HAR.JO,-89.82033,89.05921,1.0,1.1168419
IMP.JO,-89.90749,89.67389,1.0,1.155751
INL.JO,-88.76168,-55.404064,1.0,1.1035814
INP.JO,-88.77096,-87.50868,1.0,1.1484277
KIO.JO,89.39963,87.502686,1.0,1.0184422
MNP.JO,-89.87479,-89.76323,1.0,1.0338007
MRP.JO,-89.01682,-89.37534,1.0,1.13699
MTN.JO,-88.279976,-89.717865,1.0,1.1095169
NED.JO,-89.49044,-89.53975,1.0,1.0348699
NPN.JO,-89.98873,89.97657,1.0,1.0509753
NRP.JO,-88.3396,-89.52013,2.0,1.5024233
REM.JO,-88.85368,88.26859,1.0,1.0847332
RLO.JO,-89.16443,88.970665,1.0,1.0646584
SBK.JO,-87.73538,-89.02417,1.0,1.1072835
SHP.JO,-89.25059,-89.200165,2.0,1.6598153
SLM.JO,-89.2138,88.542915,1.0,1.0629213
SOL.JO,-89.839676,-89.93795,1.0,1.0351377
VOD.JO,-88.47801,-88.38807,1.0,1.1330798
ABG.JO,89.803375,89.51795,1.0,1.2666115
AGL.JO,89.98721,-87.84397,1.0,1.0491668
AMS.JO,89.99251,-89.96417,1.0,1.0312648
APN.JO,89.10912,-89.853546,1.0,1.1361623
BTI.JO,89.57478,-89.92716,2.0,1.0416927
BVT.JO,89.683754,89.16198,1.0,1.0750041
CLS.JO,89.82937,-89.5009,1.0,1.0972354
CPI.JO,89.92103,89.87797,1.0,1.0139238
DSY.JO,89.64695,84.51995,1.0,1.0932734
EXX.JO,89.94954,-89.62125,1.0,1.0756326
FSR.JO,89.42621,84.87822,1.0,1.1007112
GFI.JO,89.95654,89.33784,1.0,1.1355295
GLN.JO,89.8293,88.89283,1.0,1.1187632
GRT.JO,85.998985,86.14089,2.0,2.0184293
HAR.JO,89.70733,87.52714,2.0,1.1286668
IMP.JO,89.91838,-89.23303,1.0,1.0492935
