,ABG.JO,AGL.JO,AMS.JO,APN.JO,BTI.JO,BVT.JO,CLS.JO,CPI.JO,DSY.JO,EXX.JO,FSR.JO,GFI.JO,GLN.JO,GRT.JO,HAR.JO,IMP.JO,INL.JO,INP.JO,KIO.JO,MNP.JO,MRP.JO,MTN.JO,NED.JO,NPN.JO,NRP.JO,REM.JO,RLO.JO,SBK.JO,SHP.JO,SLM.JO,SOL.JO,VOD.JO
MRP.JO,0.0,0.100244336,0.0,0.0,0.0,0.0,0.11030353,0.0,0.0,0.102990426,0.0,0.0,0.0,0.0,0.0,0.14581901,0.18440287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15056467,0.0,0.0,0.0,0.0,0.0
MTN.JO,0.24641049,0.0,0.0,0.14805357,0.0,0.0,0.0,0.23303604,0.0,0.0,0.0,0.0,0.0,0.0,0.17210121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25182307,0.0,0.0,0.0,0.1153304,0.0,0.0,0.0,0.0
NED.JO,0.16023432,0.0,0.18827502,0.25377786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21883897,0.0,0.0,0.0,0.0,0.1079815,0.14369379,0.0,0.0,0.11212895,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NPN.JO,0.0,0.0,0.0,0.2034169,0.0,0.0,0.0,0.0,0.12348517,0.0,0.105260976,0.0,0.0,0.122215815,0.0,0.21339361,0.0,0.0,0.22465837,0.0,0.14358161,0.11733242,0.0,0.16733558,0.1865464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NRP.JO,0.0,0.0,0.16570796,0.17763044,0.0,0.0,0.22838378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16446419,0.0,0.0,0.0,0.11945572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REM.JO,0.11138361,0.0,0.13971587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.123693556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16850466,0.0,0.10581962,0.0
RLO.JO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12776618,0.11784619,0.0,0.0,0.156421,0.0,0.0,0.14567171,0.0,0.15993863,0.13020185,0.0,0.0,0.0,0.0,0.0,0.0,0.19706698,0.24031746,0.10443171,0.0,0.0,0.104528524,0.0,0.0
SBK.JO,0.0,0.0,0.0,0.0,0.149971,0.0,0.0,0.0,0.26138517,0.11764569,0.0,0.0,0.0,0.0,0.15282369,0.0,0.11002228,0.0,0.0,0.0,0.0,0.0,0.11347183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHP.JO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16024609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18198948,0.0,0.0,0.15566488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLM.JO,0.0,0.0,0.0,0.21307589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10311079,0.0,0.0,0.0,0.0,0.12980245,0.0,0.0,0.13216531,0.0
SOL.JO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12420958,0.0,0.0,0.14150845,0.0,0.0,0.10868699,0.11783037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.112978704,0.14261661,0.17140424,0.0,0.0,0.0
VOD.JO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15048474,0.0,0.0,0.0,0.0,0.124706686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
