,ABG.JO,AGL.JO,AMS.JO,APN.JO,BTI.JO,BVT.JO,CLS.JO,CPI.JO,DSY.JO,EXX.JO,FSR.JO,GFI.JO,GLN.JO,GRT.JO,HAR.JO,IMP.JO,INL.JO,INP.JO,KIO.JO,MNP.JO,MRP.JO,MTN.JO,NED.JO,NPN.JO,NRP.JO,REM.JO,RLO.JO,SBK.JO,SHP.JO,SLM.JO,SOL.JO,VOD.JO
GRT.JO,0.0012520949,0.054023713,0.116102345,0.2511774,0.10416594,-0.046680704,0.08286741,-0.02145267,-0.029665858,-0.03366201,-0.010056819,-0.07749268,-0.014123092,-0.20784087,0.060631514,0.08896872,0.054075595,-0.12637718,-0.08586377,-0.19001116,-0.02791746,0.04407561,-0.1190705,0.07906387,0.23852219,0.034762982,0.12041793,-0.049747568,-0.2485993,0.24230266,0.0941663,-0.1211895
HAR.JO,-0.07907748,0.1192581,-0.12482059,-0.039784253,-0.19198592,-0.07486003,-0.029469714,0.12411424,-0.054111112,0.10938271,0.10123155,-0.08017782,0.10555068,0.13123406,0.08969026,0.053455126,-0.029770395,-0.015870681,0.09179371,0.09389501,0.051367283,-0.11992427,0.06718127,-0.0012043366,-0.15623312,-0.13847287,0.022934308,0.0638612,0.022329232,-0.09436366,0.19254941,-0.04395544
IMP.JO,0.04228845,-0.074247815,-0.025829136,0.05113274,0.039939467,-0.17032667,0.17413063,0.056666493,0.22881626,-0.20032676,-0.0047606677,0.14687416,-0.081067465,0.11443624,-0.09072084,-0.07943206,0.05884308,0.20076175,0.023686588,0.054111023,0.09524155,-0.06309497,0.004021873,0.24219249,-0.08785466,-0.20779495,-0.024068544,0.08429802,0.13924107,-0.11419865,0.015798738,-0.122964896
INL.JO,0.06909034,-0.21458125,-0.031074405,-0.11723116,-0.08368219,0.011822909,-0.09497099,0.08157199,-0.028427357,0.04402089,-0.028894663,0.22914588,0.08790996,-0.109001614,-0.03327675,-0.019810716,-0.1931346,-0.04103023,-0.13969652,-0.108079575,0.0050860248,0.05760159,0.042481165,-0.07549962,0.05872317,-0.10501822,-0.17543383,0.009330357,-0.012802656,0.10554266,-0.01756306,-0.05111587
INP.JO,-0.033778965,-0.06318014,-0.20290095,0.012558363,-0.08791577,-0.028618822,0.022953957,-0.053344607,0.09425813,-0.025478264,0.0011365166,-0.0712251,-0.019296372,-0.11133357,0.05465369,0.22508442,-0.075870335,-0.093003124,0.04447652,-0.11736845,0.0028539896,0.0036141772,0.16729885,0.0924566,0.0238828,-0.085504204,0.029251417,-0.18565775,0.032634243,-0.15645306,0.15824546,-0.095000625
KIO.JO,0.05522895,0.023706228,-0.01277107,0.0111447275,-0.022627035,0.002550006,0.03667344,-0.086661786,0.058149192,0.032575473,-0.07462897,0.09361417,-0.014533798,-0.06911353,0.047308926,-0.11525453,0.048379943,0.1012503,-0.07588989,-0.10481569,0.065352924,-0.033815365,-0.079244584,-0.07283832,0.1291741,0.058443766,0.07123684,0.025513014,-0.027211597,-0.0617629,0.06588486,0.07183296
MNP.JO,0.07905003,-0.0132386135,0.159223,-0.12465108,-0.12269438,0.18471241,0.12209792,0.09688714,-0.113217585,-0.05439615,-0.059067804,-0.1117943,-0.12650941,-0.034585238,-0.05256589,0.04664449,0.22318895,0.08359743,0.049457293,0.049761843,-0.08653467,-0.034112077,0.2020609,-0.051947277,0.08952916,0.21169673,-0.11407127,-0.03510722,0.0035446286,0.03738184,0.07783673,0.14710562
MRP.JO,-0.06660382,0.054191772,-0.10392616,-0.16012122,-0.07205694,-0.112795055,-0.12715407,0.04141468,0.055862624,-0.13406402,-0.08164549,0.021462098,0.021876106,0.05326414,0.1024996,0.09397619,-0.06482824,-0.23532014,0.014598469,0.055506397,-0.13489266,0.20709582,-0.09469074,-0.054588765,0.07137411,0.046828285,-0.24218361,-0.10675958,0.105080925,-0.08911089,0.20437,-0.06999609
MTN.JO,-0.07226049,0.102535926,0.10739219,0.0747555,0.1503172,-0.09920711,-0.01326175,-0.13223292,-0.016192803,-0.072083436,0.09472548,-0.054738,0.04802206,-0.073823065,0.10089498,-0.028927147,0.0786742,0.07375444,-0.008892019,-0.00020435452,0.007870982,0.005919758,-0.00059137744,-0.11070483,-0.030510396,0.049253006,0.03299089,-0.1750247,0.21247177,-0.0041163764,0.014199664,-0.08128605
NED.JO,0.15101077,0.13102244,0.0031790633,-0.12088557,0.18453525,0.024969494,0.05988134,-0.041399192,-0.05577074,-0.09459952,0.06923926,-0.08829355,-0.030611997,-0.19007182,0.008871685,-0.062238645,-0.101620875,-0.036829602,0.13961838,0.08302442,0.04797816,-0.19895856,-0.06973808,-0.17795737,-0.024225662,0.042277325,0.09323102,-0.09132903,-0.11036575,0.14371091,0.0742888,-0.21851206
NPN.JO,0.10270343,0.11544445,-0.07041036,-0.027690401,0.045534104,-0.009426251,-0.20385283,0.04042275,-0.015898705,0.13850771,-0.10423251,-0.0171637,0.03580005,-0.1120553,0.02761664,-0.012763376,0.103302784,-0.1679069,-0.20820808,-0.065782525,-0.084614635,-0.026244992,0.09315882,0.12385998,0.0030958552,-0.07850126,-0.107773446,0.07910814,0.15134062,0.0077947727,-0.070738606,-0.04569189
NRP.JO,-0.16585022,0.12199283,-0.011561617,0.0049179792,0.010180816,-0.047865074,0.07973999,-0.008351604,0.056241304,-0.16288094,-0.0054639727,0.05824769,0.050525308,5.357464e-05,0.028709223,-0.017306065,-0.027098149,-0.10181779,0.07833835,-0.086325936,-0.011720573,-0.09505909,-0.09570851,0.033678066,0.048813287,0.1045793,-0.14306702,0.17285419,0.12665926,0.20088774,-0.18015541,0.019229254
REM.JO,0.12495961,-0.02021796,0.19589336,-0.016980657,0.17328691,-0.1019487,0.07452208,0.040385235,0.07650732,0.0047444305,0.0589944,0.13008659,0.16406001,0.15598543,-0.1109272,-0.058104455,0.036964353,-0.19057727,-0.10833443,0.03029946,-0.04613148,-0.0693055,0.04849407,-0.01928254,-0.01209979,-0.08264574,-0.12164768,-0.03855415,-0.10977211,0.045100093,0.05263329,-0.14931583
RLO.JO,0.061205804,0.22904389,0.0015771886,0.058846105,0.091561854,-0.17446537,-0.0136908395,-0.09203458,-0.02104648,-0.099212825,0.07306165,0.11041683,0.21792662,-0.1274321,0.038266677,0.18233447,0.048651684,0.14177375,0.023123398,0.00038594505,0.043163996,-0.12589118,0.10158467,-0.12842366,-0.11223964,0.04820457,-0.005435571,0.02630788,0.016848007,-0.086366124,0.07275805,-0.15640506
SBK.JO,-0.22663307,-0.009791642,-0.029321024,0.15512142,0.018155292,0.26384988,-0.08246283,0.06637315,0.118060686,-0.011078298,0.112523735,-0.10745809,-0.118902944,-0.104853086,-0.1618675,0.12253612,0.13065635,0.12241528,0.036247402,0.06347144,0.11091411,-0.051881235,-0.10536624,-0.085906126,-0.12968981,-0.0472704,-0.15302849,-0.058757227,-0.08395553,0.07927353,0.009643406,-0.07061586
SHP.JO,-0.018511325,-0.17659241,0.07742577,-0.053047583,-0.03305307,0.1510308,0.07310241,0.070209816,0.08940121,0.1984864,-0.014874816,-0.027397817,-0.016670415,-0.14764135,-0.0029594898,0.17576802,-0.0510975,-0.089761585,-0.18916976,0.034194548,0.05939875,-0.16600864,-0.03580941,0.113115154,-0.030673211,-0.02127848,0.01418823,-0.032976355,0.041464187,-0.0629198,-0.11057823,-0.030208781
SLM.JO,0.07662163,-0.043622885,-0.08829185,-0.012022689,0.05427729,0.04220794,0.16435908,-0.13912512,0.16883431,0.038561612,0.06835026,0.073463015,-0.049050614,0.10905842,0.025068775,-0.17819989,-0.10549422,0.1447566,-0.18227597,-0.11520677,0.110389374,-0.11784544,0.11050117,-0.026552731,-0.0300598,0.073899366,0.07276404,0.12567751,-0.049243465,-0.06119314,-0.010901044,-0.059809834
SOL.JO,-0.05294424,-0.031418283,-0.005779291,-0.16841428,0.057589773,-0.10763851,-0.045094073,0.13899444,0.054418247,-0.046141952,-0.016938508,0.17050125,0.026026577,0.049439862,-0.19232647,-0.048992634,-0.04176868,-0.020911792,-0.04081138,0.07100451,-0.012396599,-0.048498522,0.1497956,-0.16022938,0.06412296,0.13164449,0.120227456,-0.02347506,-0.103359945,0.19092621,0.0007310708,0.021290965
VOD.JO,-0.05728011,-0.033189673,-0.025814524,0.029442668,-0.0217096,0.0035317938,0.11876804,-0.012007932,0.18152721,0.059744824,0.22125284,0.13249941,-0.08321027,0.041094247,0.0923453,0.111375004,-0.02021954,-0.15946285,-0.2161417,0.01955469,0.012238264,0.15408064,0.0710615,-0.12189386,-0.07357897,0.17172132,0.101974286,0.19486634,-0.18397963,0.0659992,0.06444557,0.04237828
