Date,Value
15/02/2024,16366.5547
14/02/2024,16315.1817
13/02/2024,16234.0936
12/2/2024,16337.3762
9/2/2024,16379.1964
8/2/2024,16427.5849
7/2/2024,16379.6112
6/2/2024,16434.618
5/2/2024,16396.1885
2/2/2024,16417.6119
1/2/2024,16183.3051
31/01/2024,16376.531
30/01/2024,16282.9465
29/01/2024,16332.5531
26/01/2024,16258.437
25/01/2024,15899.1522
24/01/2024,15887.3437
23/01/2024,15775.7177
22/01/2024,15612.9454
19/01/2024,15717.9461
18/01/2024,15656.1455
17/01/2024,15484.3392
16/01/2024,15725.7165
15/01/2024,15943.2967
12/1/2024,16206.5604
11/1/2024,16114.9692
10/1/2024,15898.2684
9/1/2024,15946.3814
8/1/2024,15762.8785
5/1/2024,15723.5381
4/1/2024,15772.7036
3/1/2024,15836.6587
2/1/2024,16220.1213
29/12/2023,16344.7965
28/12/2023,16265.6604
27/12/2023,16170.5771
22/12/2023,15911.9384
21/12/2023,15585.4722
20/12/2023,15634.2848
19/12/2023,15448.8637
18/12/2023,15553.293
14/12/2023,15767.4533
13/12/2023,15505.4078
12/12/2023,15741.9703
11/12/2023,15950.1647
8/12/2023,16059.8057
7/12/2023,17087.1304
6/12/2023,17425.4895
5/12/2023,17423.2272
4/12/2023,17446.121
1/12/2023,17365.8174
30/11/2023,17388.7551
29/11/2023,17303.1113
28/11/2023,17538.4325
27/11/2023,17505.8245
24/11/2023,17631.885
23/11/2023,17472.9048
22/11/2023,17384.5775
21/11/2023,17551.557
20/11/2023,17605.763
17/11/2023,17712.9716
16/11/2023,18020.7777
15/11/2023,18349.1526
14/11/2023,17440.3915
13/11/2023,17443.0755
10/11/2023,17712.6263
9/11/2023,17687.9825
8/11/2023,17664.403
7/11/2023,17687.5058
6/11/2023,18032.0043
3/11/2023,18086.7252
2/11/2023,17518.9637
1/11/2023,16982.2841
31/10/2023,16956.5585
30/10/2023,16772.1908
27/10/2023,16687.6507
26/10/2023,16716.0231
25/10/2023,16878.4603
24/10/2023,17034.5604
23/10/2023,17058.1824
20/10/2023,16915.3441
19/10/2023,17334.8245
18/10/2023,17349.0538
17/10/2023,17497.6341
16/10/2023,17439.407
13/10/2023,17500.7204
12/10/2023,17663.959
11/10/2023,17931.6393
10/10/2023,17855.3628
9/10/2023,17380.8958
6/10/2023,17342.3553
5/10/2023,17213.7649
4/10/2023,17073.7416
3/10/2023,17231.9601
2/10/2023,17262.5533
29/09/2023,17514.397
28/09/2023,17487.1497
27/09/2023,17567.0337
26/09/2023,17618.8473
22/09/2023,17855.1146
21/09/2023,17868.2741
20/09/2023,17816.7981
19/09/2023,17071.1329
18/09/2023,17150.7027
15/09/2023,17225.6493
14/09/2023,17245.6643
13/09/2023,17289.9669
12/9/2023,18111.7308
11/9/2023,18293.9204
8/9/2023,17985.0759
7/9/2023,17867.1065
6/9/2023,17883.5344
5/9/2023,18062.7254
4/9/2023,18303.3151
1/9/2023,18220.134
31/08/2023,18263.4632
30/08/2023,18680.8062
29/08/2023,18566.4437
28/08/2023,18764.0139
25/08/2023,18601.0128
24/08/2023,18459.5388
23/08/2023,18199.2988
22/08/2023,17963.0278
21/08/2023,17948.305
18/08/2023,17538.2803
17/08/2023,17641.3908
16/08/2023,17484.1381
15/08/2023,17354.9482
14/08/2023,17828.5986
11/8/2023,18369.8387
10/8/2023,18361.2711
8/8/2023,18310.7775
7/8/2023,18277.7046
4/8/2023,18318.9204
3/8/2023,17859.5971
2/8/2023,18239.1198
1/8/2023,18886.8837
31/07/2023,18920.9635
28/07/2023,18826.2325
27/07/2023,18768.0816
26/07/2023,18436.5571
25/07/2023,18269.1136
24/07/2023,18164.0876
21/07/2023,17986.0782
20/07/2023,17943.6159
19/07/2023,18058.0747
18/07/2023,18051.3054
17/07/2023,18068.1947
14/07/2023,17724.9762
13/07/2023,17474.0179
12/7/2023,17203.8439
11/7/2023,16997.3127
10/7/2023,16864.0027
7/7/2023,16917.201
6/7/2023,16922.877
5/7/2023,17053.0875
4/7/2023,17040.8754
3/7/2023,17102.0991
30/06/2023,16753.5886
29/06/2023,16505.1138
28/06/2023,16336.6739
27/06/2023,16237.5462
26/06/2023,16209.3407
23/06/2023,16048.9328
22/06/2023,16340.6699
21/06/2023,16581.6019
20/06/2023,16933.14
19/06/2023,16778.0955
15/06/2023,16770.0345
14/06/2023,16558.2001
13/06/2023,16273.8183
12/6/2023,16079.4807
9/6/2023,16488.4649
8/6/2023,16360.5273
7/6/2023,16249.7841
6/6/2023,15833.1007
5/6/2023,15678.3613
2/6/2023,15570.2386
1/6/2023,15513.6991
31/05/2023,15440.812
30/05/2023,15468.4913
29/05/2023,15766.3989
26/05/2023,15750.2357
25/05/2023,15917.4501
24/05/2023,16027.0336
23/05/2023,16083.3231
22/05/2023,16113.9797
19/05/2023,15893.9223
18/05/2023,15646.0513
17/05/2023,15684.7173
16/05/2023,15931.749
15/05/2023,15892.0566
12/5/2023,15662.8875
11/5/2023,15698.9835
10/5/2023,16237.6862
9/5/2023,16558.9198
8/5/2023,16674.8617
5/5/2023,16378.704
4/5/2023,16312.678
3/5/2023,16776.7878
2/5/2023,17132.3069
28/04/2023,17665.7265
26/04/2023,17514.1525
25/04/2023,17503.6741
24/04/2023,17576.0847
21/04/2023,17609.0477
20/04/2023,17678.327
19/04/2023,17503.8747
18/04/2023,18230.2804
17/04/2023,18409.0558
14/04/2023,18580.1695
13/04/2023,18524.6518
12/4/2023,18635.2742
11/4/2023,18618.6146
6/4/2023,18388.4097
5/4/2023,18432.4685
4/4/2023,18705.5058
3/4/2023,18458.1647
31/03/2023,18167.102
30/03/2023,18390.2412
29/03/2023,18373.4665
28/03/2023,18360.6916
27/03/2023,17978.6704
24/03/2023,17670.0585
23/03/2023,18050.5146
22/03/2023,17929.837
20/03/2023,17132.7003
17/03/2023,17269.7998
16/03/2023,17158.0176
15/03/2023,17239.2149
14/03/2023,17581.3862
13/03/2023,17770.9635
10/3/2023,18779.8883
9/3/2023,19176.2931
8/3/2023,19114.4541
7/3/2023,19714.3095
6/3/2023,19937.5872
3/3/2023,19916.5436
2/3/2023,19943.7498
1/3/2023,20230.3972
28/02/2023,19877.0032
27/02/2023,19608.971
24/02/2023,19667.6497
23/02/2023,19975.5833
22/02/2023,19931.2797
21/02/2023,19566.6133
20/02/2023,19429.8907
17/02/2023,19234.4118
16/02/2023,19093.2728
15/02/2023,19269.9003
14/02/2023,19404.9907
13/02/2023,19292.7129
10/2/2023,19122.2303
9/2/2023,20016.9512
8/2/2023,20081.6096
7/2/2023,20212.3555
6/2/2023,20252.9634
3/2/2023,20441.7684
2/2/2023,20531.0128
1/2/2023,20407.8232
31/01/2023,19917.0168
30/01/2023,20215.9975
27/01/2023,20323.8
26/01/2023,20139.1055
25/01/2023,20026.0837
24/01/2023,20115.079
23/01/2023,20137.3305
20/01/2023,19751.4483
19/01/2023,19727.286
18/01/2023,19891.5917
17/01/2023,19748.9117
16/01/2023,20057.7326
13/01/2023,20033.9417
12/1/2023,19862.9788
11/1/2023,19682.7314
10/1/2023,19805.3813
9/1/2023,20103.6017
6/1/2023,19556.9097
5/1/2023,19680.967
4/1/2023,19633.6923
3/1/2023,19523.6977
30/12/2022,19363.946
29/12/2022,19337.2805
28/12/2022,19644.2078
23/12/2022,19651.2939
22/12/2022,19620.2415
21/12/2022,19774.9889
20/12/2022,19683.8458
19/12/2022,19485.3755
15/12/2022,19081.2965
14/12/2022,19446.3645
13/12/2022,19383.7321
12/12/2022,19500.8024
9/12/2022,19580.4875
8/12/2022,19494.6428
7/12/2022,19568.5226
6/12/2022,19485.9012
5/12/2022,19333.9344
2/12/2022,18865.4381
1/12/2022,19037.896
30/11/2022,20493.0712
29/11/2022,20322.9355
28/11/2022,20604.4992
25/11/2022,20684.052
24/11/2022,20584.1555
23/11/2022,20810.1424
22/11/2022,20885.3714
21/11/2022,20429.1355
18/11/2022,20228.6749
17/11/2022,19915.9734
16/11/2022,19722.2484
15/11/2022,19620.5717
14/11/2022,20049.3864
11/11/2022,20010.3688
10/11/2022,19619.6678
9/11/2022,19828.2557
8/11/2022,20101.4768
7/11/2022,20168.1728
4/11/2022,19909.1983
3/11/2022,19586.4017
2/11/2022,19713.4841
1/11/2022,19868.0538
31/10/2022,20000.9425
28/10/2022,20022.8619
27/10/2022,20155.0326
26/10/2022,20090.4705
25/10/2022,19524.4036
24/10/2022,19186.6213
21/10/2022,18979.0458
20/10/2022,19062.8792
19/10/2022,19183.9184
18/10/2022,18731.0997
17/10/2022,18717.6493
14/10/2022,18224.0531
13/10/2022,17920.356
12/10/2022,17874.3626
11/10/2022,17746.238
10/10/2022,17585.1148
7/10/2022,17373.7908
6/10/2022,17477.0382
5/10/2022,17515.1367
4/10/2022,17755.5369
3/10/2022,17603.342
30/09/2022,17669.0129
29/09/2022,17626.0347
28/09/2022,17793.5089
27/09/2022,18037.6721
26/09/2022,17841.1191
23/09/2022,17976.5785
22/09/2022,18211.3134
21/09/2022,18270.8057
20/09/2022,18288.5551
19/09/2022,17885.3177
16/09/2022,18109.4623
15/09/2022,18186.1121
14/09/2022,17899.3658
13/09/2022,18632.0493
12/9/2022,18870.7695
9/9/2022,18647.8796
8/9/2022,18213.9739
7/9/2022,18008.0207
6/9/2022,18385.5378
5/9/2022,18404.742
2/9/2022,18103.225
1/9/2022,17582.9685
31/08/2022,17952.816
30/08/2022,18337.5016
29/08/2022,18496.3703
26/08/2022,18877.4667
25/08/2022,18556.5822
24/08/2022,18400.2363
23/08/2022,18528.1071
22/08/2022,18271.0719
19/08/2022,18614.6059
18/08/2022,18947.7271
17/08/2022,18687.2162
16/08/2022,18824.8304
15/08/2022,18769.4403
12/8/2022,18587.6266
11/8/2022,18327.3651
10/8/2022,18051.6723
8/8/2022,17913.7302
5/8/2022,17759.2238
4/8/2022,17445.1924
3/8/2022,17081.5948
2/8/2022,16797.8278
1/8/2022,16993.3213
29/07/2022,17032.1231
28/07/2022,17016.3503
27/07/2022,16881.7465
26/07/2022,16882.9577
25/07/2022,16755.6696
22/07/2022,16882.3044
21/07/2022,16785.6559
20/07/2022,16421.7663
19/07/2022,16212.2938
18/07/2022,15978.2652
15/07/2022,15491.8479
14/07/2022,15281.8492
13/07/2022,15673.8297
12/7/2022,15771.8663
11/7/2022,15511.212
8/7/2022,15682.7625
7/7/2022,15644.819
6/7/2022,15361.8242
5/7/2022,15478.6273
4/7/2022,15748.1974
1/7/2022,15620.0032
30/06/2022,15477.7736
29/06/2022,15760.4804
28/06/2022,15993.6712
27/06/2022,15984.438
24/06/2022,16468.4529
23/06/2022,16398.8733
22/06/2022,16490.782
21/06/2022,16876.0129
20/06/2022,16426.2596
17/06/2022,16028.265
15/06/2022,16092.0868
14/06/2022,16240.9926
13/06/2022,15902.2168
10/6/2022,16276.2441
9/6/2022,16571.2758
8/6/2022,16689.0316
7/6/2022,16938.1308
6/6/2022,17519.373
3/6/2022,17990.8646
2/6/2022,17795.1978
1/6/2022,18097.6028
31/05/2022,18267.4076
30/05/2022,17861.5316
27/05/2022,17196.8421
26/05/2022,16625.8227
25/05/2022,16266.0591
24/05/2022,16776.5582
23/05/2022,16857.472
20/05/2022,16669.3749
19/05/2022,16634.8762
18/05/2022,16960.4865
17/05/2022,16925.6446
16/05/2022,16807.1636
13/05/2022,16646.9179
12/5/2022,16346.9364
11/5/2022,16202.5136
10/5/2022,16284.7339
9/5/2022,15716.0796
6/5/2022,15799.3058
5/5/2022,16428.8518
4/5/2022,16717.6691
3/5/2022,16858.7449
29/04/2022,17234.8731
28/04/2022,17134.9971
26/04/2022,16940.3427
25/04/2022,16578.4492
22/04/2022,16713.6863
21/04/2022,16913.9875
20/04/2022,17890.6532
19/04/2022,18267.3131
14/04/2022,17715.6895
13/04/2022,17670.8171
12/4/2022,17944.7242
11/4/2022,18225.4493
8/4/2022,18304.6846
7/4/2022,18482.7423
6/4/2022,18543.5307
5/4/2022,18281.2019
4/4/2022,18879.0817
1/4/2022,19226.161
31/03/2022,18997.7094
30/03/2022,18973.8054
29/03/2022,19288.5178
28/03/2022,19183.0275
25/03/2022,18857.0039
24/03/2022,18838.1712
23/03/2022,18904.9436
22/03/2022,18910.9781
18/03/2022,18470.3726
17/03/2022,18974.288
16/03/2022,18360.1632
15/03/2022,17485.7513
14/03/2022,17711.3678
11/3/2022,17248.1947
10/3/2022,16673.5659
9/3/2022,16321.1742
8/3/2022,16022.5736
7/3/2022,15995.2893
4/3/2022,17462.5996
3/3/2022,18196.4704
2/3/2022,17607.1086
1/3/2022,18020.0611
28/02/2022,17636.8194
25/02/2022,17519.623
24/02/2022,17126.9913
23/02/2022,17581.1001
22/02/2022,17247.3942
21/02/2022,17482.3502
18/02/2022,17432.0989
17/02/2022,17668.6512
16/02/2022,18153.2377
15/02/2022,18095.5052
14/02/2022,17430.4399
11/2/2022,17510.9571
10/2/2022,17472.0179
9/2/2022,17301.3944
8/2/2022,17436.778
7/2/2022,17107.1079
4/2/2022,16930.7682
3/2/2022,16932.3498
