Date,StockID,Horizon_Step,Actual_Price,Predicted_Price
2014-03-26,AGL.JO,1,26108.67973301924,25431.29385375709
2014-03-26,CLS.JO,1,6106.435976313153,5969.025260925041
2014-03-26,GRT.JO,1,2354.9879626915435,2322.3535343250364
2014-03-26,KIO.JO,1,37037.7744222341,35604.832469908724
2014-03-26,MNP.JO,1,21041.13497189232,20929.642476190827
2014-03-26,NPN.JO,1,73897.99407151432,74165.02670958132
2014-03-26,RLO.JO,1,6129.014816273379,5947.38639953888
2014-03-26,SHP.JO,1,15144.329240172912,15140.95494148263
2014-03-27,ABG.JO,1,14872.063254138671,14687.544571304696
2014-03-27,HAR.JO,1,3310.2240718563976,3507.5251921257673
2014-03-27,IMP.JO,1,11803.570364343886,11762.500916899413
2014-03-27,RLO.JO,1,6238.278098791336,6038.826703977297
2014-03-27,SBK.JO,1,13524.570221134298,13360.272365704735
2014-03-27,SOL.JO,1,59559.024749659526,57802.026744802046
2014-03-28,INL.JO,1,4810.889040422638,4773.654608915098
2014-03-28,VOD.JO,1,13064.067604366895,12856.75711329853
2014-03-31,DSY.JO,1,8135.292643562987,7956.512728812475
2014-03-31,GLN.JO,1,5515.563238377376,5452.06135672376
2014-03-31,IMP.JO,1,11956.49283686865,11745.706054313947
2014-03-31,NRP.JO,1,8329.844311511506,8536.405813307003
2014-03-31,REM.JO,1,14331.688983291082,14235.62093177195
2014-03-31,SHP.JO,1,15847.66579592601,15586.078433709961
2014-04-01,ABG.JO,1,14687.346953504984,14566.951462506591
2014-04-01,BVT.JO,1,7588.382974847089,7491.190866286275
2014-04-01,DSY.JO,1,8137.236348756188,8109.994384730469
2014-04-01,GFI.JO,1,3954.982706838852,4117.040697445056
2014-04-01,IMP.JO,1,11978.438173394241,11781.703781242459
2014-04-01,MNP.JO,1,20203.184032957724,20496.193475556534
2014-04-01,SOL.JO,1,58346.880132029895,57927.45565028472
2014-04-02,BVT.JO,1,7552.092717255195,7573.844405727833
2014-04-02,EXX.JO,1,14174.579768746024,13808.27811279319
2014-04-02,INL.JO,1,4992.992110893239,4848.336207654006
2014-04-02,MTN.JO,1,21600.668178243093,21204.87357737543
2014-04-02,NED.JO,1,21936.811466967923,21895.804957410197
2014-04-03,AGL.JO,1,26342.6544944004,26335.14997826416
2014-04-03,CPI.JO,1,20650.621121494023,19774.07437233193
2014-04-03,GLN.JO,1,5549.20685169909,5453.53243408717
2014-04-03,HAR.JO,1,3262.6069287031964,3255.5019174897748
2014-04-03,NED.JO,1,21660.594238847392,21732.641515658644
2014-04-03,NPN.JO,1,72862.9361604086,74092.67639290755
2014-04-03,SBK.JO,1,13863.430948539113,13859.863688192385
2014-04-03,SHP.JO,1,16331.626643078798,16364.428324096973
2014-04-03,SLM.JO,1,5664.254794944262,5863.6708473054405
2014-04-04,AGL.JO,1,26610.896057625916,26126.425350161233
2014-04-04,AMS.JO,1,48999.619098686555,46460.39845921824
2014-04-04,GFI.JO,1,4111.945340819971,4099.513061341685
2014-04-04,GLN.JO,1,5568.194402205292,5480.314345272531
2014-04-04,GRT.JO,1,2385.69132346056,2370.2968414967195
2014-04-04,KIO.JO,1,38384.61655571539,37197.18004019633
2014-04-04,SLM.JO,1,5653.646316211265,5769.754244684885
2014-04-07,HAR.JO,1,3292.908847354445,3270.1647589048357
2014-04-07,MRP.JO,1,15358.32362820626,15324.905033675213
2014-04-07,MTN.JO,1,21414.61585961053,21129.9880551442
2014-04-07,NED.JO,1,21700.671798350417,21418.721338965202
2014-04-07,REM.JO,1,14338.473295588105,14287.49762345399
2014-04-07,RLO.JO,1,6629.639555996003,6406.933720992102
2014-04-07,SHP.JO,1,16406.416224674558,16383.380977990586
2014-04-07,SLM.JO,1,5473.57148379754,5742.036024271618
2014-04-07,SOL.JO,1,57026.62522895215,57086.324617032886
2014-04-08,CLS.JO,1,6231.4784122845185,6232.375024886816
2014-04-08,EXX.JO,1,14434.173938935553,14230.61903443039
2014-04-08,FSR.JO,1,3832.399572063247,3750.4867429150518
2014-04-08,MTN.JO,1,21573.473951851363,21117.561988457193
2014-04-08,VOD.JO,1,13667.079512928673,13342.522469275436
2014-04-09,GLN.JO,1,5527.8886203209095,5448.687630186759
2014-04-09,GRT.JO,1,2420.027821945263,2389.6143801721164
2014-04-09,HAR.JO,1,3308.8920890835043,3322.8875602479643
2014-04-09,INP.JO,1,4598.866334863437,4566.9875788325735
2014-04-09,MNP.JO,1,19714.195988226176,20091.712788923254
2014-04-10,ABG.JO,1,15326.196526215788,15244.668672249914
2014-04-10,AMS.JO,1,49327.476704642235,46332.277475999115
2014-04-10,BTI.JO,1,59303.76866200438,59252.62210114553
2014-04-10,CLS.JO,1,6316.281837470198,6231.418156708292
2014-04-10,DSY.JO,1,8555.41271751001,8639.214328317259
2014-04-10,INL.JO,1,5044.475705106635,4983.686730196631
2014-04-10,NED.JO,1,21930.849527635062,21628.233458978142
2014-04-10,NRP.JO,1,8194.10079989782,8344.079779844575
2014-04-10,SBK.JO,1,13996.277136294648,14012.879231526047
2014-04-10,SOL.JO,1,57552.68662100817,56441.53282199796
2014-04-10,VOD.JO,1,13842.074418359683,13654.98539897897
2014-04-11,GFI.JO,1,4311.139732943685,4282.399382113192
2014-04-11,MNP.JO,1,19333.71166308369,20005.410394185277
2014-04-11,NED.JO,1,21820.232470436935,21714.483224467724
2014-04-11,NPN.JO,1,67261.85074381725,70844.63939519634
2014-04-11,SBK.JO,1,13922.72246431386,13944.537568684991
2014-04-11,SOL.JO,1,57487.87657831596,56573.63438129778
