Date,StockID,Horizon_Step,Actual_Price,Predicted_Price
2022-10-20,ABG.JO,1,19022.75940419688,9089.174842586228
2022-10-20,AGL.JO,1,52860.04938796617,12778.94411248229
2022-10-20,AMS.JO,1,140627.8488029376,44674.24356331021
2022-10-20,APN.JO,1,14644.406772632425,12146.010035129608
2022-10-20,BTI.JO,1,68003.41092680497,63642.813719048565
2022-10-20,BVT.JO,1,20564.359479873398,14227.440357965828
2022-10-20,CLS.JO,1,29171.205612557864,8684.341468276065
2022-10-20,CPI.JO,1,182553.36696287052,96545.41983359147
2022-10-20,DSY.JO,1,11366.277560152803,13028.474369356267
2022-10-20,EXX.JO,1,20455.952407593406,11483.668479269192
2022-10-20,FSR.JO,1,6210.088222838923,3424.1846614951705
2022-10-20,GFI.JO,1,13948.37266300615,6349.179045955599
2022-10-20,GLN.JO,1,9897.516188134927,1137.731260344567
2022-10-20,GRT.JO,1,1331.9476836502533,2207.487580002036
2022-10-20,HAR.JO,1,4738.479967309951,6255.637853328461
2022-10-20,IMP.JO,1,17150.6730743791,4640.454691264415
2022-10-20,INL.JO,1,8345.3936947058,3404.7064867986956
2022-10-20,INP.JO,1,8457.397107899671,3240.1585323357103
2022-10-20,KIO.JO,1,37733.56006957875,22883.171762135655
2022-10-20,MNP.JO,1,32786.23378168598,35039.17884068004
2022-10-20,MRP.JO,1,17854.813667433085,15440.155554635057
2022-10-20,MTN.JO,1,12356.411332313364,447.90145288391443
2022-10-20,NED.JO,1,20755.69523753359,11025.736480892843
2022-10-20,NPN.JO,1,210833.0233957244,194980.35355982074
2022-10-20,NRP.JO,1,8695.770024086642,5416.7896090662325
2022-10-20,REM.JO,1,13612.919936467822,16391.913686805015
2022-10-20,RLO.JO,1,4576.6213742828595,6437.109243295943
2022-10-20,SBK.JO,1,16348.792012807555,12460.319334991282
2022-10-20,SHP.JO,1,22483.60069271791,9920.762950235123
2022-10-20,SLM.JO,1,5147.976031534844,4896.193537715918
2022-10-20,SOL.JO,1,29372.5020129669,15191.029062744747
2022-10-20,VOD.JO,1,12324.798418888517,9358.911178224327
2022-10-21,ABG.JO,1,18970.366300396057,9089.174842586228
2022-10-21,AGL.JO,1,53914.07804090955,12778.94411248229
2022-10-21,AMS.JO,1,139898.32936425277,44674.24356331021
2022-10-21,APN.JO,1,14655.403035493619,12146.010035129608
2022-10-21,BTI.JO,1,67156.06768697084,63642.813719048565
2022-10-21,BVT.JO,1,20562.358354671345,14227.440357965828
2022-10-21,CLS.JO,1,29214.180114176906,8684.341468276065
2022-10-21,CPI.JO,1,181125.23060549155,96545.41983359147
2022-10-21,DSY.JO,1,11244.643393460117,13028.474369356267
2022-10-21,EXX.JO,1,21388.006138557812,11483.668479269192
2022-10-21,FSR.JO,1,6154.171583469699,3424.1846614951705
2022-10-21,GFI.JO,1,14292.752611284248,6349.179045955599
2022-10-21,GLN.JO,1,10066.512757509216,1137.731260344567
2022-10-21,GRT.JO,1,1310.0146434023768,2207.487580002036
2022-10-21,HAR.JO,1,4795.795489377669,6255.637853328461
2022-10-21,IMP.JO,1,17349.593105679065,4640.454691264415
2022-10-21,INL.JO,1,8376.679787527606,3404.7064867986956
2022-10-21,INP.JO,1,8524.982106936719,3240.1585323357103
2022-10-21,KIO.JO,1,38581.511763374794,22883.171762135655
2022-10-21,MNP.JO,1,32727.567513116115,35039.17884068004
2022-10-21,MRP.JO,1,17304.383660889074,15440.155554635057
2022-10-21,MTN.JO,1,12154.60553612635,447.90145288391443
2022-10-21,NED.JO,1,20538.79810576356,11025.736480892843
2022-10-21,NPN.JO,1,208556.48790894257,194980.35355982074
2022-10-21,NRP.JO,1,8647.772980111791,5416.7896090662325
2022-10-21,REM.JO,1,13455.329933386365,16391.913686805015
2022-10-21,RLO.JO,1,4541.672262901099,6437.109243295943
2022-10-21,SBK.JO,1,16456.600118926068,12460.319334991282
2022-10-21,SHP.JO,1,22185.46185718915,9920.762950235123
2022-10-21,SLM.JO,1,5093.072082210788,4896.193537715918
2022-10-21,SOL.JO,1,28899.554132908106,15191.029062744747
2022-10-21,VOD.JO,1,12117.801223760802,9358.911178224327
2022-10-24,ABG.JO,1,19149.002700213103,9089.174842586228
2022-10-24,AGL.JO,1,54637.18543892046,12778.94411248229
2022-10-24,AMS.JO,1,141553.04602981143,44674.24356331021
2022-10-24,APN.JO,1,14841.998396481675,12146.010035129608
2022-10-24,BTI.JO,1,69701.4679757171,63642.813719048565
2022-10-24,BVT.JO,1,20701.2381971443,14227.440357965828
2022-10-24,CLS.JO,1,29847.45193869826,8684.341468276065
2022-10-24,CPI.JO,1,181081.60611069482,96545.41983359147
2022-10-24,DSY.JO,1,11267.303517067865,13028.474369356267
2022-10-24,EXX.JO,1,21925.496065601674,11483.668479269192
2022-10-24,FSR.JO,1,6190.783833223372,3424.1846614951705
2022-10-24,GFI.JO,1,14520.56183190441,6349.179045955599
2022-10-24,GLN.JO,1,10305.84298063742,1137.731260344567
2022-10-24,GRT.JO,1,1313.3378459124494,2207.487580002036
2022-10-24,HAR.JO,1,4883.100755252139,6255.637853328461
2022-10-24,IMP.JO,1,17657.467109539328,4640.454691264415
2022-10-24,INL.JO,1,8607.321456578438,3404.7064867986956
2022-10-24,INP.JO,1,8775.011920489951,3240.1585323357103
2022-10-24,KIO.JO,1,38460.799394606685,22883.171762135655
2022-10-24,MNP.JO,1,33792.36603811026,35039.17884068004
2022-10-24,MRP.JO,1,17428.92189208408,15440.155554635057
2022-10-24,MTN.JO,1,11617.457769140954,447.90145288391443
