StockID,Actual_Slope_Angle,Predicted_Slope_Angle,Actual_Duration,Predicted_Duration
KIO.JO,89.94507,89.64907,1.0,1.0656514
MNP.JO,89.89463,-89.882645,1.0,1.0915643
MRP.JO,-89.88226,-89.89564,1.0,1.0312939
MTN.JO,89.84444,-89.87958,1.0,1.0995747
NED.JO,89.92554,-89.71546,1.0,1.045183
NPN.JO,89.992584,89.67537,1.0,1.0309737
NRP.JO,89.34392,88.774704,1.0,0.93941355
REM.JO,89.76214,87.21133,1.0,1.0905077
RLO.JO,89.24834,88.743706,1.0,1.3497509
SBK.JO,89.838005,80.39511,2.0,1.1111405
SHP.JO,89.87091,-89.823784,2.0,1.0384972
SLM.JO,89.51222,-89.77853,1.0,0.4019742
SOL.JO,89.920006,-89.9319,1.0,0.99524015
VOD.JO,89.770935,-89.75699,1.0,0.91369176
ABG.JO,89.58195,89.82202,1.0,1.4230863
AGL.JO,-89.74434,89.79029,1.0,1.0214818
AMS.JO,89.9451,89.81929,1.0,1.0022471
APN.JO,-86.05331,-89.924965,2.0,1.0144554
BTI.JO,89.90964,-89.91166,1.0,1.0403988
BVT.JO,89.17889,88.963646,2.0,1.3235343
CLS.JO,89.83121,88.0004,1.0,1.2013118
CPI.JO,-89.95769,89.976425,1.0,1.1711277
DSY.JO,88.28113,86.847275,1.0,1.0536546
EXX.JO,-89.05043,-89.734505,1.0,1.1290132
FSR.JO,89.139336,87.95653,1.0,1.3858672
GFI.JO,89.21809,89.78372,1.0,1.3939803
GLN.JO,-89.05562,89.55356,1.0,1.3371993
GRT.JO,86.376976,88.86827,2.0,1.4671249
HAR.JO,88.98866,-89.24543,1.0,1.4276001
IMP.JO,89.63178,89.55184,1.0,1.2955192
INL.JO,89.61658,87.54787,1.0,1.4028544
INP.JO,89.35061,85.075745,1.0,0.9961604
KIO.JO,-89.95677,89.3131,1.0,1.0606636
MNP.JO,-89.49431,-89.88231,1.0,1.0925022
MRP.JO,89.88619,-89.903046,1.0,1.0283394
MTN.JO,89.709366,-89.876785,1.0,1.0897372
NED.JO,89.811966,-89.765114,1.0,1.045503
NPN.JO,89.983215,89.83528,1.0,1.0216594
NRP.JO,89.58877,69.59646,1.0,0.8665368
REM.JO,89.028496,83.713875,1.0,1.0941572
RLO.JO,88.52902,88.89156,1.0,1.3358566
SBK.JO,-89.68404,-79.954,1.0,1.1040741
SHP.JO,89.87091,-89.81031,2.0,1.0523049
SLM.JO,-87.674446,-89.747375,1.0,0.57285655
SOL.JO,89.883995,-89.93306,1.0,0.9905987
VOD.JO,89.28917,-89.79005,1.0,0.9044678
ABG.JO,-89.64921,89.787125,1.0,1.4067998
AGL.JO,-89.91855,89.757164,1.0,1.0161577
AMS.JO,89.862045,89.8076,1.0,1.000964
APN.JO,-86.05331,-89.90613,2.0,0.969468
BTI.JO,-73.31507,-89.90931,1.0,1.04084
BVT.JO,89.819664,88.30717,1.0,1.3408706
CLS.JO,89.85546,86.158745,1.0,1.1982543
CPI.JO,89.95559,89.96921,1.0,1.166177
DSY.JO,89.70305,87.707146,1.0,1.0571532
EXX.JO,-89.92351,-89.73572,1.0,1.1307583
FSR.JO,87.875725,88.14776,1.0,1.3700384
GFI.JO,-89.5572,89.77662,2.0,1.3418866
GLN.JO,-89.559265,89.55396,1.0,1.3344058
GRT.JO,86.376976,88.86481,2.0,1.4592001
HAR.JO,-88.93213,-89.24174,1.0,1.4258717
IMP.JO,89.72309,89.46643,1.0,1.2943336
INL.JO,87.61049,87.72758,1.0,1.3963618
