Date,StockID,Actual_Price,Predicted_Price
2022-10-20,ABG.JO,19022.75940419688,9177.837329816775
2022-10-20,AGL.JO,52860.04938796617,20747.290291850768
2022-10-20,AMS.JO,140627.8488029376,148420.0731643851
2022-10-20,APN.JO,14644.406772632425,13510.423923127824
2022-10-20,BTI.JO,68003.41092680497,35620.77656122799
2022-10-20,BVT.JO,20564.359479873398,16471.261717672187
2022-10-20,CLS.JO,29171.205612557864,29411.224032282717
2022-10-20,CPI.JO,182553.36696287052,37745.799975123795
2022-10-20,DSY.JO,11366.277560152803,11829.837659102359
2022-10-20,EXX.JO,20455.952407593406,18460.873489379777
2022-10-20,FSR.JO,6210.088222838923,5449.420513861729
2022-10-20,GFI.JO,13948.37266300615,20655.838912971318
2022-10-20,GLN.JO,9897.516188134927,9894.500012888837
2022-10-20,GRT.JO,1331.9476836502533,1119.785970055468
2022-10-20,HAR.JO,4738.479967309951,-250.2672955462665
2022-10-20,IMP.JO,17150.6730743791,12553.03798024613
2022-10-20,INL.JO,8345.3936947058,4446.5752407474065
2022-10-20,INP.JO,8457.397107899671,5216.641763069034
2022-10-20,KIO.JO,37733.56006957875,10010.106102361378
2022-10-20,MNP.JO,32786.23378168598,32202.547162769475
2022-10-20,MRP.JO,17854.813667433085,22787.929583335488
2022-10-20,MTN.JO,12356.411332313364,5051.673807175659
2022-10-20,NED.JO,20755.69523753359,21454.553681424914
2022-10-20,NPN.JO,210833.0233957244,277471.10443724244
2022-10-20,NRP.JO,8695.770024086642,14431.02350750451
2022-10-20,REM.JO,13612.919936467822,12804.287873446741
2022-10-20,RLO.JO,4576.6213742828595,5035.509173899085
2022-10-20,SBK.JO,16348.792012807555,14943.313295440206
2022-10-20,SHP.JO,22483.60069271791,28766.847306404172
2022-10-20,SLM.JO,5147.976031534844,5968.063216310886
2022-10-20,SOL.JO,29372.5020129669,45278.123903191015
2022-10-20,VOD.JO,12324.798418888517,13113.992989009395
2022-10-21,ABG.JO,18970.366300396057,9214.243574084383
2022-10-21,AGL.JO,53914.07804090955,20666.538323464032
2022-10-21,AMS.JO,139898.32936425277,147969.18801464257
2022-10-21,APN.JO,14655.403035493619,13444.749552762652
2022-10-21,BTI.JO,67156.06768697084,35349.836398253596
2022-10-21,BVT.JO,20562.358354671345,16559.031770414455
2022-10-21,CLS.JO,29214.180114176906,30279.49228315057
2022-10-21,CPI.JO,181125.23060549155,37855.41349449911
2022-10-21,DSY.JO,11244.643393460117,11857.193193597317
2022-10-21,EXX.JO,21388.006138557812,18482.63008605209
2022-10-21,FSR.JO,6154.171583469699,5745.120858109197
2022-10-21,GFI.JO,14292.752611284248,20409.70463685133
2022-10-21,GLN.JO,10066.512757509216,9879.35670195952
2022-10-21,GRT.JO,1310.0146434023768,1129.388528458284
2022-10-21,HAR.JO,4795.795489377669,-235.77219295555616
2022-10-21,IMP.JO,17349.593105679065,12449.190009104077
2022-10-21,INL.JO,8376.679787527606,4456.666246210538
2022-10-21,INP.JO,8524.982106936719,5240.681188256412
2022-10-21,KIO.JO,38581.511763374794,9999.924170531523
2022-10-21,MNP.JO,32727.567513116115,32259.096598623946
2022-10-21,MRP.JO,17304.383660889074,22826.590485155495
2022-10-21,MTN.JO,12154.60553612635,5125.747449349146
2022-10-21,NED.JO,20538.79810576356,21548.5908154582
2022-10-21,NPN.JO,208556.48790894257,271446.6514360942
2022-10-21,NRP.JO,8647.772980111791,14456.28423758441
2022-10-21,REM.JO,13455.329933386365,12831.13916822223
2022-10-21,RLO.JO,4541.672262901099,5092.633957593238
2022-10-21,SBK.JO,16456.600118926068,15102.858867318066
2022-10-21,SHP.JO,22185.46185718915,28783.13035508398
2022-10-21,SLM.JO,5093.072082210788,5973.2446706309065
2022-10-21,SOL.JO,28899.554132908106,45386.81393775329
2022-10-21,VOD.JO,12117.801223760802,13103.599736717417
2022-10-24,ABG.JO,19149.002700213103,9272.252387104227
2022-10-24,AGL.JO,54637.18543892046,20736.907494158095
2022-10-24,AMS.JO,141553.04602981143,147126.31060859305
2022-10-24,APN.JO,14841.998396481675,13431.341569621647
2022-10-24,BTI.JO,69701.4679757171,35499.03322450967
2022-10-24,BVT.JO,20701.2381971443,16601.95185114462
2022-10-24,CLS.JO,29847.45193869826,30411.044888835626
2022-10-24,CPI.JO,181081.60611069482,38050.981531074314
2022-10-24,DSY.JO,11267.303517067865,11824.577696207376
2022-10-24,EXX.JO,21925.496065601674,18697.47689345681
2022-10-24,FSR.JO,6190.783833223372,5897.804034637453
2022-10-24,GFI.JO,14520.56183190441,20075.760334078754
2022-10-24,GLN.JO,10305.84298063742,9962.779758147175
2022-10-24,GRT.JO,1313.3378459124494,1130.3814039480465
2022-10-24,HAR.JO,4883.100755252139,-233.75215696974988
2022-10-24,IMP.JO,17657.467109539328,12424.905232625473
2022-10-24,INL.JO,8607.321456578438,4465.4370767661385
2022-10-24,INP.JO,8775.011920489951,5266.998788879629
2022-10-24,KIO.JO,38460.799394606685,10022.130954311235
2022-10-24,MNP.JO,33792.36603811026,32193.70896948335
2022-10-24,MRP.JO,17428.92189208408,22740.631801947147
2022-10-24,MTN.JO,11617.457769140954,5142.7083338944385
2022-10-24,NED.JO,20664.545189916524,21551.482137209015
2022-10-24,NPN.JO,178047.7915861108,270239.2687211411
2022-10-24,NRP.JO,8717.43544817116,14473.472209352596
2022-10-24,REM.JO,13441.336762977291,12815.495882963503
2022-10-24,RLO.JO,4518.706888134566,5114.703806629059
2022-10-24,SBK.JO,16573.053555741117,15186.185461761735
