Date,StockID,Horizon_Step,Actual_Price,Predicted_Price
2022-10-20,ABG.JO,1,19022.75940419688,20224.528745408683
2022-10-20,AGL.JO,1,52860.04938796617,74202.43465809706
2022-10-20,AMS.JO,1,140627.8488029376,110339.91379895198
2022-10-20,APN.JO,1,14644.406772632425,-42069.754471874185
2022-10-20,BTI.JO,1,68003.41092680497,32021.54789984056
2022-10-20,BVT.JO,1,20564.359479873398,22964.62477494063
2022-10-20,CLS.JO,1,29171.205612557864,36550.34193202559
2022-10-20,CPI.JO,1,182553.36696287052,254786.13573223876
2022-10-20,DSY.JO,1,11366.277560152803,2050.07255470982
2022-10-20,EXX.JO,1,20455.952407593406,26968.368874318232
2022-10-20,FSR.JO,1,6210.088222838923,6403.818485253523
2022-10-20,GFI.JO,1,13948.37266300615,15308.395177863322
2022-10-20,GLN.JO,1,9897.516188134927,12362.154246636146
2022-10-20,GRT.JO,1,1331.9476836502533,-2616.835666643127
2022-10-20,HAR.JO,1,4738.479967309951,-2700.1890699018
2022-10-20,IMP.JO,1,17150.6730743791,23747.995658077336
2022-10-20,INL.JO,1,8345.3936947058,10023.637937163188
2022-10-20,INP.JO,1,8457.397107899671,10161.949520909453
2022-10-20,KIO.JO,1,37733.56006957875,44611.15887637358
2022-10-20,MNP.JO,1,32786.23378168598,18542.29145744919
2022-10-20,MRP.JO,1,17854.813667433085,4640.975235693339
2022-10-20,MTN.JO,1,12356.411332313364,-2734.24229008351
2022-10-20,NED.JO,1,20755.69523753359,12858.429643512365
2022-10-20,NPN.JO,1,210833.0233957244,189588.2544677837
2022-10-20,NRP.JO,1,8695.770024086642,-13317.876842726382
2022-10-20,REM.JO,1,13612.919936467822,5295.846024673687
2022-10-20,RLO.JO,1,4576.6213742828595,-2562.1441660187575
2022-10-20,SBK.JO,1,16348.792012807555,7242.720594921583
2022-10-20,SHP.JO,1,22483.60069271791,22631.21494417211
2022-10-20,SLM.JO,1,5147.976031534844,-2583.408903881054
2022-10-20,SOL.JO,1,29372.5020129669,-1960.716466836706
2022-10-20,VOD.JO,1,12324.798418888517,4427.619418095879
2022-10-21,ABG.JO,1,18970.366300396057,20223.53392899567
2022-10-21,AGL.JO,1,53914.07804090955,73434.27420357034
2022-10-21,AMS.JO,1,139898.32936425277,107995.99111021498
2022-10-21,APN.JO,1,14655.403035493619,-42033.43208056503
2022-10-21,BTI.JO,1,67156.06768697084,32260.12247622008
