,in_degree_centrality,out_degree_centrality,betweenness_centrality,eigenvector_centrality_or_pagerank,local_clustering_coeff,community_id
ABG.JO,0.16129032258064516,0.3225806451612903,0.07563873880002911,0.18542698616010297,0.1568627450980392,0
AGL.JO,0.29032258064516125,0.22580645161290322,0.04766152008087492,0.22981988151426025,0.16111111111111112,0
AMS.JO,0.22580645161290322,0.12903225806451613,0.036041040202330524,0.23351594168558018,0.09433962264150944,1
APN.JO,0.25806451612903225,0.25806451612903225,0.08566570168183074,0.23622823103961768,0.15677966101694915,1
BTI.JO,0.06451612903225806,0.22580645161290322,0.012421915002560166,0.07716755288148666,0.17142857142857143,2
BVT.JO,0.0967741935483871,0.12903225806451613,0.017280200086651702,0.10700138786529764,0.23809523809523808,0
CLS.JO,0.25806451612903225,0.1935483870967742,0.049708292305066494,0.21106041323844477,0.16666666666666666,0
CPI.JO,0.25806451612903225,0.22580645161290322,0.031016653597298754,0.20814939260128767,0.17532467532467533,3
DSY.JO,0.22580645161290322,0.1935483870967742,0.05581944280331377,0.2083431714043208,0.15584415584415584,2
EXX.JO,0.16129032258064516,0.1935483870967742,0.028151784893720378,0.1112341376521722,0.19090909090909092,2
FSR.JO,0.16129032258064516,0.16129032258064516,0.042823368387884524,0.1293205037185796,0.10227272727272728,1
GFI.JO,0.16129032258064516,0.1935483870967742,0.023099373744535034,0.12433841101796522,0.1792452830188679,2
GLN.JO,0.0967741935483871,0.29032258064516125,0.03985896660090209,0.0837759656553282,0.21212121212121213,4
GRT.JO,0.1935483870967742,0.16129032258064516,0.017972862263184848,0.19262604984131304,0.1323529411764706,3
HAR.JO,0.25806451612903225,0.12903225806451613,0.0359645581419775,0.23469470330522968,0.2153846153846154,3
IMP.JO,0.25806451612903225,0.16129032258064516,0.06205666973408908,0.2083339965376265,0.19230769230769232,4
INL.JO,0.3225806451612903,0.12903225806451613,0.02406041986687148,0.22839537395352388,0.19230769230769232,2
INP.JO,0.0967741935483871,0.12903225806451613,0.0059959037378392215,0.09633600643338988,0.3157894736842105,3
KIO.JO,0.22580645161290322,0.22580645161290322,0.03365843356165937,0.22319075268765984,0.140625,4
MNP.JO,0.29032258064516125,0.0967741935483871,0.03053152940249714,0.257025761961909,0.1171875,3
MRP.JO,0.0967741935483871,0.1935483870967742,0.02479935536387149,0.09613353811549023,0.18055555555555555,2
MTN.JO,0.22580645161290322,0.1935483870967742,0.05104317426898072,0.19266686814602874,0.19480519480519481,3
NED.JO,0.22580645161290322,0.22580645161290322,0.09165123228026455,0.2522563814467142,0.14606741573033707,1
NPN.JO,0.1935483870967742,0.3225806451612903,0.051430066946195965,0.15162768661919757,0.1348314606741573,4
NRP.JO,0.12903225806451613,0.16129032258064516,0.014471129229193745,0.12181548203439482,0.15714285714285714,1
REM.JO,0.1935483870967742,0.16129032258064516,0.033096892354956865,0.17507177137364702,0.17592592592592593,2
RLO.JO,0.1935483870967742,0.3225806451612903,0.0388152349442672,0.10079137854306504,0.1388888888888889,2
SBK.JO,0.25806451612903225,0.1935483870967742,0.05547100450326255,0.21545185244383003,0.12921348314606743,2
SHP.JO,0.16129032258064516,0.0967741935483871,0.02830371361016522,0.15881095841383108,0.16071428571428573,2
SLM.JO,0.16129032258064516,0.12903225806451613,0.033502224776418316,0.1492201716654372,0.20833333333333334,1
SOL.JO,0.0967741935483871,0.22580645161290322,0.029432273222595808,0.07368425213222018,0.16666666666666666,2
VOD.JO,0.06451612903225806,0.06451612903225806,0.0033090117767537114,0.03640666484588239,0.1,4
