Date,StockID,Actual_Price,Predicted_Price
2022-10-20,ABG.JO,19022.75940419688,171124.79945400552
2022-10-20,AGL.JO,52860.04938796617,372476.49169424985
2022-10-20,AMS.JO,140627.8488029376,1472332.4333558185
2022-10-20,APN.JO,14644.406772632425,413622.18281335087
2022-10-20,BTI.JO,68003.41092680497,735564.0820246454
2022-10-20,BVT.JO,20564.359479873398,207697.05997336304
2022-10-20,CLS.JO,29171.205612557864,252274.08817479317
2022-10-20,CPI.JO,182553.36696287052,1607990.7106445795
2022-10-20,DSY.JO,11366.277560152803,173948.37012303973
2022-10-20,EXX.JO,20455.952407593406,162257.55780977695
2022-10-20,FSR.JO,6210.088222838923,58241.309501993885
2022-10-20,GFI.JO,13948.37266300615,178310.88517705168
2022-10-20,GLN.JO,9897.516188134927,61877.71653600734
2022-10-20,GRT.JO,1331.9476836502533,26886.145840333305
2022-10-20,HAR.JO,4738.479967309951,119262.68171067162
2022-10-20,IMP.JO,17150.6730743791,183572.0087584972
2022-10-20,INL.JO,8345.3936947058,50012.285539593635
2022-10-20,INP.JO,8457.397107899671,47679.95453922842
2022-10-20,KIO.JO,37733.56006957875,596989.2233281182
2022-10-20,MNP.JO,32786.23378168598,374061.2390975276
2022-10-20,MRP.JO,17854.813667433085,259512.50743590645
2022-10-20,MTN.JO,12356.411332313364,295900.4856584873
2022-10-20,NED.JO,20755.69523753359,292065.9042250182
2022-10-20,NPN.JO,210833.0233957244,3395124.53051386
2022-10-20,NRP.JO,8695.770024086642,205039.1446261749
2022-10-20,REM.JO,13612.919936467822,159169.48170411945
2022-10-20,RLO.JO,4576.6213742828595,70744.50543806184
2022-10-20,SBK.JO,16348.792012807555,188005.78615257065
2022-10-20,SHP.JO,22483.60069271791,220690.1567747401
2022-10-20,SLM.JO,5147.976031534844,70361.83381165948
2022-10-20,SOL.JO,29372.5020129669,784839.8227730684
2022-10-20,VOD.JO,12324.798418888517,123234.56077209009
2022-10-21,ABG.JO,18970.366300396057,170927.34983965597
2022-10-21,AGL.JO,53914.07804090955,372083.0811187318
2022-10-21,AMS.JO,139898.32936425277,1469350.91912815
2022-10-21,APN.JO,14655.403035493619,413925.0329014576
2022-10-21,BTI.JO,67156.06768697084,735926.953448515
2022-10-21,BVT.JO,20562.358354671345,207789.15118529025
2022-10-21,CLS.JO,29214.180114176906,252063.6368694574
2022-10-21,CPI.JO,181125.23060549155,1608682.3774746617
2022-10-21,DSY.JO,11244.643393460117,173901.08132102407
2022-10-21,EXX.JO,21388.006138557812,162008.2655492348
2022-10-21,FSR.JO,6154.171583469699,58204.06478767234
2022-10-21,GFI.JO,14292.752611284248,178281.9749656189
2022-10-21,GLN.JO,10066.512757509216,61722.12154256111
2022-10-21,GRT.JO,1310.0146434023768,26896.713917485085
2022-10-21,HAR.JO,4795.795489377669,119415.51721969846
2022-10-21,IMP.JO,17349.593105679065,183142.16701036177
2022-10-21,INL.JO,8376.679787527606,50029.263089592496
2022-10-21,INP.JO,8524.982106936719,47707.590470045376
2022-10-21,KIO.JO,38581.511763374794,596192.8117468299
2022-10-21,MNP.JO,32727.567513116115,374325.2331390984
2022-10-21,MRP.JO,17304.383660889074,259577.0555732739
2022-10-21,MTN.JO,12154.60553612635,295926.4439699047
2022-10-21,NED.JO,20538.79810576356,292001.3012546484
2022-10-21,NPN.JO,208556.48790894257,3396356.4303366956
2022-10-21,NRP.JO,8647.772980111791,205198.61518708206
2022-10-21,REM.JO,13455.329933386365,159131.0382034078
2022-10-21,RLO.JO,4541.672262901099,70652.36424178028
2022-10-21,SBK.JO,16456.600118926068,187665.0106395331
2022-10-21,SHP.JO,22185.46185718915,220671.9520218062
2022-10-21,SLM.JO,5093.072082210788,70321.75438396525
2022-10-21,SOL.JO,28899.554132908106,783793.2906906051
2022-10-21,VOD.JO,12117.801223760802,123321.39509046299
2022-10-24,ABG.JO,19149.002700213103,170691.1906825137
2022-10-24,AGL.JO,54637.18543892046,372233.3012399484
2022-10-24,AMS.JO,141553.04602981143,1469888.161228267
2022-10-24,APN.JO,14841.998396481675,413938.83772879536
2022-10-24,BTI.JO,69701.4679757171,736335.9829907625
2022-10-24,BVT.JO,20701.2381971443,207542.42318776023
2022-10-24,CLS.JO,29847.45193869826,252176.9757629615
2022-10-24,CPI.JO,181081.60611069482,1610109.4906562564
2022-10-24,DSY.JO,11267.303517067865,173991.85693519283
2022-10-24,EXX.JO,21925.496065601674,162064.2632883566
2022-10-24,FSR.JO,6190.783833223372,58269.33188072359
2022-10-24,GFI.JO,14520.56183190441,178386.12174141614
2022-10-24,GLN.JO,10305.84298063742,61748.913108596804
2022-10-24,GRT.JO,1313.3378459124494,26909.71307618363
2022-10-24,HAR.JO,4883.100755252139,119475.14592427116
2022-10-24,IMP.JO,17657.467109539328,183183.83776336248
2022-10-24,INL.JO,8607.321456578438,49978.19825429179
2022-10-24,INP.JO,8775.011920489951,47657.98205215966
2022-10-24,KIO.JO,38460.799394606685,596826.371133938
2022-10-24,MNP.JO,33792.36603811026,374399.0789317148
2022-10-24,MRP.JO,17428.92189208408,259576.02137659784
2022-10-24,MTN.JO,11617.457769140954,296396.31562707556
2022-10-24,NED.JO,20664.545189916524,292215.4171833671
2022-10-24,NPN.JO,178047.7915861108,3398142.2196264737
2022-10-24,NRP.JO,8717.43544817116,205167.7929050701
2022-10-24,REM.JO,13441.336762977291,159118.17130743363
2022-10-24,RLO.JO,4518.706888134566,70619.81504042856
2022-10-24,SBK.JO,16573.053555741117,187682.55184148316
