StockID,Actual_Price,Predicted_Price
MTN.JO,10562.525342368868,10622.517187499432
KIO.JO,38503.39377219423,39071.60339730443
MNP.JO,33913.00013698009,33682.33992864867
SBK.JO,15925.905501573465,15588.692032936264
NED.JO,22107.042276066873,21860.753736815008
BTI.JO,71740.7267492367,72493.56828437699
AMS.JO,112309.11379562526,114928.36613343561
CLS.JO,8229.149507129914,7929.725807804527
SHP.JO,25206.670199157845,25250.561168675544
REM.JO,14896.240480976936,14274.26289535244
INL.JO,5471.681210481795,5377.649186702678
BTI.JO,88554.7435096025,86351.49652750092
FSR.JO,4001.7328797370064,3534.440869379938
INL.JO,3662.437992072315,3679.0658582015312
MRP.JO,17611.601321181544,17333.422006354114
OMU.JO,967.4724720787235,988.5498609501374
AMS.JO,104303.01139095261,102318.50327686452
SBK.JO,14262.979486189552,14315.21279316547
VOD.JO,11698.68268010969,11626.948488082155
NRP.JO,17534.830465339706,17688.58266855264
REM.JO,17749.263583394757,17488.910843499354
INP.JO,12768.371307056163,12694.243932650073
BID.JO,28549.908338105306,28166.092214114964
INL.JO,5530.612671232375,5499.858687497792
DSY.JO,17088.364965350454,16394.461672594596
RLO.JO,6184.900307795484,6129.988924893172
SHP.JO,24209.49820890103,23821.064117040718
HAR.JO,4811.733307737024,4555.729243790694
CLS.JO,8932.062551248193,8947.137348778895
EXX.JO,6865.3950645050645,6960.099408372553
HAR.JO,2831.187452268343,2830.941905262227
BTI.JO,84498.93690055562,86294.35073873587
DSY.JO,13026.497969097954,12734.031641586453
IMP.JO,10900.97388898539,10450.543656688955
AMS.JO,47657.969122758135,47329.13744826079
NED.JO,20637.94680526419,21071.323668683646
MNP.JO,33919.00036520476,35822.29984185356
GLN.JO,2704.691164454067,2468.3220829885686
FSR.JO,4749.439398098824,4706.857842627462
SHP.JO,15482.986241888515,15608.170752797856
SLM.JO,7087.062483410118,7044.51488071424
NPN.JO,170353.7952886033,166843.70417548576
FSR.JO,4451.678715641465,4170.102496939566
GLN.JO,8988.932866006391,9305.378170387354
MTN.JO,6675.520181363047,6608.020895106331
NED.JO,25247.572086136497,24996.972775667324
VOD.JO,11266.141562948062,11041.322272432619
CLS.JO,6573.238241044735,6511.470771961467
BVT.JO,15989.640083268197,15728.656295154593
SLM.JO,8022.055221745046,7857.134705756791
PRX.JO,65288.91401141976,64641.491927388364
MRP.JO,14797.513614834912,14519.656128752438
NPN.JO,334637.03193149995,331394.20190931484
INL.JO,3737.1816063095466,3685.139828973857
PRX.JO,53066.93703836826,52753.53493907053
NPN.JO,299241.46849996457,299045.19964038767
DSY.JO,9897.140693891679,9578.257551406396
BTI.JO,72107.50881917775,71738.39558958169
REM.JO,16741.392440685944,15977.20971643622
RLO.JO,5952.469267815832,6018.983067220688
MNP.JO,33795.17899351241,33731.468573566526
PPH.JO,2109.346458059372,2147.009624838065
AMS.JO,109664.5948407708,105173.17028016456
DSY.JO,10238.24723814837,10468.354162420555
NED.JO,10306.62998097478,10649.112647493763
