StockID,Actual_Slope,Predicted_Slope,Actual_Duration,Predicted_Duration
AMS,-81.16913,26.68973,40.0,41.635593
SBK,-907.1745,18.21676,5.0,50.43946
AGL,-130.36841,480.85886,15.0,22.25146
NRP,2.543136,-52.279987,60.0,144.59448
CFR,238.37231,28.470331,35.000004,31.881239
IMP,57.40952,38.002926,10.0,40.818623
NPN,156.28436,246.54099,20.0,140.6197
AGL,-4613.339,179.81029,5.0,23.4731
ABG,50.533512,57.15866,10.0,33.867958
BVT,-53.413406,54.87104,25.0,23.59252
TBS,-0.8348554,49.400944,65.0,36.109837
FSR,-438.0712,52.121147,5.0,27.749437
MRP,-34.006603,63.85145,45.0,23.564249
BVT,-0.13614345,47.12117,300.0,23.525276
NRP,0.70740014,54.78834,185.00002,24.318193
NED,-0.34967998,42.182476,475.0,37.32806
KIO,4.886101,-56.696613,200.00002,132.62973
CLS,505.95038,55.78647,5.0,25.608751
NED,-51.33148,77.253784,15.0,31.958607
SHC,-17.501097,54.87104,20.0,23.59252
SHC,2.34826,54.87104,15.0,23.59252
IMP,1952.181,33.69063,5.0,60.37539
ABG,80.045456,-6.2080455,15.0,99.572556
KIO,17.984138,54.40686,45.0,33.88161
SBK,10.723897,-25.790218,60.0,72.71162
NPN,-17.796911,54.87104,215.00002,23.59252
MTN,-94.56956,29.83934,15.0,44.845825
BVT,10.202461,54.87104,45.0,23.59252
MRP,1268.8021,63.332985,5.0,42.22848
OUT,68.61436,304.70944,5.0,57.583397
CLS,95.950005,54.87104,15.0,23.59252
BTI,23.746656,15.614032,100.0,93.99912
CPI,-1675.8126,54.87104,15.0,23.59252
HAR,-3.377361,49.244022,150.0,29.835007
MNP,8.562874,-100.10475,85.0,159.37389
GLN,-13.69582,-32.575886,40.0,36.946674
ANG,15.407281,21.112545,40.0,23.299606
AGL,54.794067,-137.08559,60.0,21.92697
VOD,7.468048,54.87104,20.0,23.59252
NRP,2.3879137,48.636284,110.0,42.63536
MNP,-197.09084,-31.870813,15.0,62.74326
SLM,21.002066,-37.878464,15.0,22.78776
NPN,166.4546,54.87104,60.0,23.59252
KIO,-440.09564,1790.4387,20.0,35.365013
KIO,-213.27296,2741.4824,5.0,48.123108
BTI,-235.91357,54.87104,5.0,23.59252
REM,8.961532,-128.76678,85.0,153.38684
INP,451.4979,-28.983936,5.0,98.48799
NED,355.8855,85.11498,5.0,21.313038
SHC,-81.67106,15.742536,5.0,59.55615
CLS,105.38802,54.0328,15.0,30.9544
CPI,1707.9131,54.87104,15.0,23.59252
CFR,-26473.271,-2109.6362,5.0,23.249113
AGL,19.426731,-47.80272,74.99999,21.707819
MRP,113.18095,53.924866,15.0,31.901989
VOD,0.9561374,22.574432,270.0,67.03213
MTN,3.5724373,55.512287,160.0,32.775703
NPN,6959.07,54.10405,10.0,30.32917
FSR,-0.7985945,-59.770943,255.0,92.65599
KIO,54.153667,45.980118,80.0,42.90457
GLN,-1.4718602,-76.530914,155.00002,114.153564
WHL,-0.2652832,18.368378,120.0,78.81003
SSW,-585.8387,54.87104,5.0,23.59252
MNP,5.9741406,41.892597,65.0,27.223534
SBK,116.23471,30.98018,20.0,104.909744
SSW,-0.638071,36.400024,110.0,61.040142
KIO,3.0783556,86.21808,140.00002,32.306587
SSW,-9.785578,12.253006,25.0,83.000824
BID,-306.84332,-30.922304,10.0,46.827686
SHC,0.857321,-8.6530075,340.0,123.36874
AMS,-2996.9443,54.87104,10.0,23.59252
PPH,0.30110818,53.425694,200.00002,26.732151
MNP,-0.5049022,54.87104,190.0,23.59252
NPN,-7.3985066,-873.0839,70.0,22.961523
KIO,11.193805,49.35323,175.0,118.47095
MTN,-15.633342,-23.822586,55.0,77.490295
REM,7.681585,54.87104,15.0,23.59252
WHL,2.6584923,-132.26056,125.00001,29.746962
CPI,-14961.79,-520.1345,5.0,21.451479
AMS,-1066.2262,8.384749,15.0,56.56944
CLS,-2067.657,54.87104,5.0,23.59252
AMS,-10174.759,-603.8786,5.0,23.558523
MRP,-2.2706609,46.539936,55.0,51.896423
OUT,-0.5466765,54.87104,225.0,23.59252
SSW,-0.70741206,851.69,55.0,54.06983
NPN,3679.9302,-2.625212,15.0,23.589552
MRP,-1092.3903,-440.8463,5.0,21.968277
NED,-806.4107,-6.5693827,5.0,158.81332
REM,-3.6604507,54.87104,60.0,23.59252
CFR,594.19586,-1223.7131,20.0,21.67115
ABG,-94.38274,42.86125,15.0,28.139343
BID,12.530581,-2.397468,74.99999,77.19356
OUT,5.620013,54.87104,30.0,23.59252
ANG,-24.386856,-32.010555,50.000004,36.418118
BTI,20.331345,-0.20696887,120.0,87.27171
S32,-3.9314532,70.95944,70.0,76.51018
MNP,-740.7307,46.961918,10.0,34.211456
ABG,1.1571629,40.37685,135.0,68.15618
REM,-166.63358,-21.496798,5.0,80.441124
PRX,-27.99768,-50.419018,104.99999,137.05371
TBS,4.465813,52.105034,160.0,107.27759
SHC,-0.3074816,54.632908,504.99994,25.683256
ABG,39.87683,-47.320724,10.0,113.38422
OUT,-42.146015,54.87104,15.0,23.59252
FSR,3.9655821,-43.425114,35.000004,22.739634
VOD,-0.55982375,-49.272877,110.0,101.990845
REM,4.482141,-42.96602,85.0,103.433914
AGL,-49.888676,-39.955303,45.0,63.787846
MNP,-13.010468,54.87104,89.99999,23.59252
MTN,2.4930916,401.7772,150.0,22.500418
IMP,-22.364939,-142.51518,40.0,54.44314
BTI,56.670517,10.218789,35.000004,136.71278
DSY,39.43682,9.575847,15.0,95.54783
NPN,-1820.9589,158.72276,15.0,23.493256
SSW,-2.092537,54.87104,65.0,23.59252
BVT,52.823677,-27.269493,15.0,22.879812
FSR,10.964577,45.978634,15.0,32.46742
REM,122.40352,33.220936,5.0,81.53945
CLS,-264.74588,54.87104,5.0,23.59252
MTN,13.955996,-28.665434,70.0,74.24869
NED,47.0654,-2.7530794,35.000004,82.50227
SLM,0.12489279,42.6017,355.0,32.43731
NED,12.558148,54.87104,15.0,23.59252
CPI,-24.018309,1301.9806,60.0,22.400509
OUT,566.0933,54.87104,5.0,23.59252
AMS,-384.18597,-3179.5063,40.0,23.425596
OUT,-74.351654,54.87104,10.0,23.59252
CLS,73.41331,182.15707,15.0,20.568151
MRP,267.43512,-50.388695,15.0,24.00778
S32,-0.059380554,47.85466,110.0,34.35638
S32,-3.7618115,-1.0613271,35.000004,46.896034
KIO,283.97424,65.638626,5.0,25.526821
TBS,25.19031,26.770521,74.99999,55.383705
TBS,-3.4986548,-135.91591,110.0,147.89125
SBK,-31.311632,240.89255,40.0,76.35599
ANG,14.373102,54.87104,30.0,23.59252
RNI,12.852477,-6.6255765,104.99999,83.13481
CFR,-3645.2864,2911.8093,10.0,18.881966
SHC,68.96297,-80.65702,15.0,27.894867
NRP,-97.50606,54.87104,15.0,23.59252
NPN,7945.3374,48.561005,5.0,37.29891
TBS,-12.982689,54.87104,55.0,23.59252
BVT,-38.03687,-19.721285,25.0,58.87045
FSR,-37.075848,54.87104,15.0,23.59252
ABG,0.6344542,41.04227,100.0,30.820147
HAR,-10.376355,34.38616,65.0,56.538673
GLN,-5.189771,-30.279999,60.0,77.686195
HAR,-0.605627,54.87104,89.99999,23.59252
HAR,-268.96594,-117.80559,10.0,61.698074
DSY,-492.53998,51.863293,5.0,28.035065
IMP,-7.961505,-26.08285,125.00001,43.350758
MTN,1.3897841,63.282726,150.0,105.92718
SLM,4.668535,-8.801231,55.0,54.373703
WHL,-12.382581,-2.3531492,20.0,144.51054
INP,13.169919,34.685795,15.0,45.140438
BTI,0.82402885,44.045776,95.0,31.623402
NED,-0.119815424,69.9753,80.0,29.238087
IMP,-12.637044,185.33827,65.0,134.08481
VOD,711.2211,126.992325,5.0,23.47124
MNP,3.7929716,26.71772,95.0,79.546425
IMP,-19.422503,54.87104,15.0,23.59252
BTI,-12.041601,-84.960625,110.0,113.07043
CLS,295.80994,54.87104,10.0,23.59252
AGL,-148.57819,-119.958984,5.0,22.075571
WHL,-0.17092,-25.158937,115.0,158.71843
ANH,-7143.509,54.87104,5.0,23.59252
BTI,40.626648,41.082985,85.0,63.602844
WHL,132.75739,157.09229,10.0,88.2014
HAR,-107.4988,7.1605725,15.0,34.53584
ANH,-5.0413346,8.285509,110.0,59.536198
MRP,-3058.1372,54.87104,5.0,23.59252
HAR,-8.994836,54.87104,70.0,23.59252
BVT,-22.949991,54.87104,60.0,23.59252
IMP,9.535345,-55.690422,35.000004,101.427536
DSY,17.430046,54.87104,40.0,23.59252
DSY,-27.18128,-71.951225,15.0,91.40631
ABG,-88.775444,-263.48776,10.0,24.822075
VOD,0.7767412,-95.15609,45.0,21.415024
ABG,-4.56761,-59.65962,104.99999,89.89541
AMS,25000.85,54.87104,5.0,23.59252
MTN,758.56604,54.87104,5.0,23.59252
MRP,124.34676,29.820044,20.0,39.290737
TBS,2.384733,-35.634315,205.0,94.26456
DSY,-34.518284,-48.595795,40.0,77.59972
TBS,3780.7659,-57.20299,5.0,31.81511
ANG,30.37774,12.955535,70.0,62.99589
INP,-107.08382,9.240592,10.0,36.358707
IMP,-42.93294,406.48486,15.0,21.554379
SHC,-6.0165625,54.87104,40.0,23.59252
SLM,4.5156455,-52.510914,55.0,127.17999
CFR,-8.578577,54.87104,115.0,23.59252
AMS,-17366.64,-225.69138,5.0,22.54784
S32,2.547801,-26.114021,80.0,82.4191
NED,1.3340144,50.928356,65.0,26.116844
